"part_id","hh_id","part_age","part_gender"
"at_A1_103186","HHat_A1_103186","40-49","M"
"at_A1_103187","HHat_A1_103187","18-29","F"
"at_A1_103188","HHat_A1_103188","70-120","M"
"at_A1_103189","HHat_A1_103189","12-15","M"
"at_A1_103190","HHat_A1_103190","5-11","M"
"at_A1_103191","HHat_A1_103191","12-15","F"
"at_A1_103192","HHat_A1_103192","60-69","F"
"at_A1_103193","HHat_A1_103193","50-59","M"
"at_A1_103194","HHat_A1_103194","5-11","F"
"at_A1_103195","HHat_A1_103195","70-120","M"
"at_A1_103196","HHat_A1_103196","60-69","M"
"at_A1_103197","HHat_A1_103197","50-59","M"
"at_A1_103198","HHat_A1_103198","30-39","M"
"at_A1_103199","HHat_A1_103199","70-120","M"
"at_A1_103200","HHat_A1_103200","5-11","F"
"at_A1_103201","HHat_A1_103201","70-120","M"
"at_A1_103202","HHat_A1_103202","12-15","M"
"at_A1_103203","HHat_A1_103203","50-59","M"
"at_A1_103204","HHat_A1_103204","5-11","F"
"at_A1_103205","HHat_A1_103205","30-39","F"
"at_A1_103206","HHat_A1_103206","40-49","M"
"at_A1_103207","HHat_A1_103207","30-39","M"
"at_A1_103208","HHat_A1_103208","50-59","F"
"at_A1_103209","HHat_A1_103209","40-49","M"
"at_A1_103210","HHat_A1_103210","70-120","F"
"at_A1_103211","HHat_A1_103211","60-69","M"
"at_A1_103212","HHat_A1_103212","40-49","M"
"at_A1_103213","HHat_A1_103213","60-69","M"
"at_A1_103214","HHat_A1_103214","50-59","M"
"at_A1_103215","HHat_A1_103215","70-120","F"
"at_A1_103216","HHat_A1_103216","30-39","F"
"at_A1_103217","HHat_A1_103217","50-59","M"
"at_A1_103218","HHat_A1_103218","60-69","M"
"at_A1_103219","HHat_A1_103219","18-29","F"
"at_A1_103220","HHat_A1_103220","30-39","F"
"at_A1_103221","HHat_A1_103221","70-120","M"
"at_A1_103222","HHat_A1_103222","40-49","M"
"at_A1_103223","HHat_A1_103223","70-120","F"
"at_A1_103224","HHat_A1_103224","30-39","M"
"at_A1_103225","HHat_A1_103225","50-59","F"
"at_A1_103226","HHat_A1_103226","70-120","M"
"at_A1_103227","HHat_A1_103227","30-39","F"
"at_A1_103228","HHat_A1_103228","70-120","M"
"at_A1_103229","HHat_A1_103229","30-39","M"
"at_A1_103230","HHat_A1_103230","30-39","F"
"at_A1_103231","HHat_A1_103231","60-69","F"
"at_A1_103232","HHat_A1_103232","50-59","F"
"at_A1_103233","HHat_A1_103233","70-120","F"
"at_A1_103234","HHat_A1_103234","30-39","M"
"at_A1_103235","HHat_A1_103235","40-49","F"
"at_A1_103236","HHat_A1_103236","1-4","F"
"at_A1_103237","HHat_A1_103237","50-59","M"
"at_A1_103238","HHat_A1_103238","40-49","F"
"at_A1_103239","HHat_A1_103239","30-39","M"
"at_A1_103240","HHat_A1_103240","60-69","M"
"at_A1_103241","HHat_A1_103241","30-39","M"
"at_A1_103242","HHat_A1_103242","40-49","M"
"at_A1_103243","HHat_A1_103243","18-29","F"
"at_A1_103244","HHat_A1_103244","60-69","M"
"at_A1_103245","HHat_A1_103245","30-39","M"
"at_A1_103246","HHat_A1_103246","40-49","M"
"at_A1_103247","HHat_A1_103247","5-11","F"
"at_A1_103248","HHat_A1_103248","60-69","M"
"at_A1_103249","HHat_A1_103249","60-69","F"
"at_A1_103250","HHat_A1_103250","70-120","M"
"at_A1_103251","HHat_A1_103251","40-49","M"
"at_A1_103252","HHat_A1_103252","70-120","M"
"at_A1_103253","HHat_A1_103253","1-4","M"
"at_A1_103254","HHat_A1_103254","50-59","F"
"at_A1_103255","HHat_A1_103255","70-120","M"
"at_A1_103256","HHat_A1_103256","30-39","F"
"at_A1_103257","HHat_A1_103257","18-29","F"
"at_A1_103258","HHat_A1_103258","30-39","F"
"at_A1_103259","HHat_A1_103259","50-59","M"
"at_A1_103260","HHat_A1_103260","40-49","M"
"at_A1_103261","HHat_A1_103261","18-29","F"
"at_A1_103262","HHat_A1_103262","30-39","F"
"at_A1_103263","HHat_A1_103263","60-69","M"
"at_A1_103264","HHat_A1_103264","30-39","F"
"at_A1_103265","HHat_A1_103265","50-59","F"
"at_A1_103266","HHat_A1_103266","30-39","F"
"at_A1_103267","HHat_A1_103267","5-11","F"
"at_A1_103268","HHat_A1_103268","50-59","F"
"at_A1_103269","HHat_A1_103269","60-69","F"
"at_A1_103270","HHat_A1_103270","30-39","F"
"at_A1_103271","HHat_A1_103271","60-69","M"
"at_A1_103272","HHat_A1_103272","60-69","F"
"at_A1_103273","HHat_A1_103273","30-39","M"
"at_A1_103274","HHat_A1_103274","40-49","F"
"at_A1_103275","HHat_A1_103275","50-59","M"
"at_A1_103276","HHat_A1_103276","50-59","M"
"at_A1_103277","HHat_A1_103277","50-59","F"
"at_A1_103278","HHat_A1_103278","50-59","F"
"at_A1_103279","HHat_A1_103279","60-69","M"
"at_A1_103280","HHat_A1_103280","60-69","F"
"at_A1_103281","HHat_A1_103281","30-39","F"
"at_A1_103282","HHat_A1_103282","40-49","M"
"at_A1_103283","HHat_A1_103283","50-59","M"
"at_A1_103284","HHat_A1_103284","18-29","F"
"at_A1_103285","HHat_A1_103285","50-59","M"
"at_A1_103286","HHat_A1_103286","40-49","M"
"at_A1_103287","HHat_A1_103287","60-69","F"
"at_A1_103288","HHat_A1_103288","40-49","M"
"at_A1_103289","HHat_A1_103289","50-59","M"
"at_A1_103290","HHat_A1_103290","30-39","F"
"at_A1_103291","HHat_A1_103291","60-69","M"
"at_A1_103292","HHat_A1_103292","50-59","M"
"at_A1_103293","HHat_A1_103293","50-59","M"
"at_A1_103294","HHat_A1_103294","30-39","F"
"at_A1_103295","HHat_A1_103295","60-69","F"
"at_A1_103296","HHat_A1_103296","40-49","M"
"at_A1_103297","HHat_A1_103297","60-69","F"
"at_A1_103298","HHat_A1_103298","70-120","M"
"at_A1_103299","HHat_A1_103299","40-49","F"
"at_A1_103300","HHat_A1_103300","70-120","F"
"at_A1_103301","HHat_A1_103301","1-4","F"
"at_A1_103302","HHat_A1_103302","40-49","M"
"at_A1_103303","HHat_A1_103303","50-59","M"
"at_A1_103304","HHat_A1_103304","30-39","M"
"at_A1_103305","HHat_A1_103305","70-120","M"
"at_A1_103306","HHat_A1_103306","60-69","F"
"at_A1_103307","HHat_A1_103307","50-59","M"
"at_A1_103308","HHat_A1_103308","60-69","F"
"at_A1_103309","HHat_A1_103309","40-49","M"
"at_A1_103310","HHat_A1_103310","40-49","M"
"at_A1_103311","HHat_A1_103311","50-59","M"
"at_A1_103312","HHat_A1_103312","60-69","M"
"at_A1_103313","HHat_A1_103313","18-29","F"
"at_A1_103314","HHat_A1_103314","50-59","F"
"at_A1_103315","HHat_A1_103315","Under 1","M"
"at_A1_103316","HHat_A1_103316","50-59","F"
"at_A1_103317","HHat_A1_103317","60-69","M"
"at_A1_103318","HHat_A1_103318","50-59","M"
"at_A1_103319","HHat_A1_103319","40-49","F"
"at_A1_103320","HHat_A1_103320","70-120","M"
"at_A1_103321","HHat_A1_103321","50-59","M"
"at_A1_103322","HHat_A1_103322","70-120","F"
"at_A1_103323","HHat_A1_103323","30-39","M"
"at_A1_103324","HHat_A1_103324","40-49","F"
"at_A1_103325","HHat_A1_103325","70-120","F"
"at_A1_103326","HHat_A1_103326","60-69","M"
"at_A1_103327","HHat_A1_103327","60-69","M"
"at_A1_103328","HHat_A1_103328","70-120","M"
"at_A1_103329","HHat_A1_103329","60-69","M"
"at_A1_103330","HHat_A1_103330","70-120","M"
"at_A1_103331","HHat_A1_103331","70-120","M"
"at_A1_103332","HHat_A1_103332","5-11","M"
"at_A1_103333","HHat_A1_103333","60-69","F"
"at_A1_103334","HHat_A1_103334","40-49","F"
"at_A1_103335","HHat_A1_103335","60-69","F"
"at_A1_103336","HHat_A1_103336","60-69","F"
"at_A1_103337","HHat_A1_103337","60-69","F"
"at_A1_103338","HHat_A1_103338","50-59","F"
"at_A1_103339","HHat_A1_103339","30-39","M"
"at_A1_103340","HHat_A1_103340","18-29","F"
"at_A1_103341","HHat_A1_103341","50-59","M"
"at_A1_103342","HHat_A1_103342","40-49","F"
"at_A1_103343","HHat_A1_103343","40-49","M"
"at_A1_103344","HHat_A1_103344","60-69","F"
"at_A1_103345","HHat_A1_103345","50-59","M"
"at_A1_103346","HHat_A1_103346","5-11","F"
"at_A1_103347","HHat_A1_103347","40-49","M"
"at_A1_103348","HHat_A1_103348","50-59","F"
"at_A1_103349","HHat_A1_103349","60-69","F"
"at_A1_103350","HHat_A1_103350","70-120","F"
"at_A1_103351","HHat_A1_103351","60-69","M"
"at_A1_103352","HHat_A1_103352","40-49","F"
"at_A1_103353","HHat_A1_103353","40-49","F"
"at_A1_103354","HHat_A1_103354","70-120","M"
"at_A1_103355","HHat_A1_103355","40-49","F"
"at_A1_103356","HHat_A1_103356","30-39","M"
"at_A1_103357","HHat_A1_103357","70-120","M"
"at_A1_103358","HHat_A1_103358","30-39","M"
"at_A1_103359","HHat_A1_103359","50-59","M"
"at_A1_103360","HHat_A1_103360","70-120","M"
"at_A1_103361","HHat_A1_103361","1-4","M"
"at_A1_103362","HHat_A1_103362","70-120","M"
"at_A1_103363","HHat_A1_103363","18-29","M"
"at_A1_103364","HHat_A1_103364","50-59","M"
"at_A1_103365","HHat_A1_103365","50-59","M"
"at_A1_103366","HHat_A1_103366","70-120","F"
"at_A1_103367","HHat_A1_103367","50-59","F"
"at_A1_103368","HHat_A1_103368","30-39","M"
"at_A1_103369","HHat_A1_103369","60-69","F"
"at_A1_103370","HHat_A1_103370","50-59","M"
"at_A1_103371","HHat_A1_103371","50-59","M"
"at_A1_103372","HHat_A1_103372","70-120","M"
"at_A1_103373","HHat_A1_103373","60-69","F"
"at_A1_103374","HHat_A1_103374","50-59","F"
"at_A1_103375","HHat_A1_103375","60-69","M"
"at_A1_103376","HHat_A1_103376","12-15","M"
"at_A1_103377","HHat_A1_103377","50-59","M"
"at_A1_103378","HHat_A1_103378","16-17","F"
"at_A1_103379","HHat_A1_103379","60-69","M"
"at_A1_103380","HHat_A1_103380","50-59","F"
"at_A1_103381","HHat_A1_103381","60-69","M"
"at_A1_103382","HHat_A1_103382","40-49","F"
"at_A1_103383","HHat_A1_103383","60-69","M"
"at_A1_103384","HHat_A1_103384","12-15","F"
"at_A1_103385","HHat_A1_103385","60-69","M"
"at_A1_103386","HHat_A1_103386","70-120","F"
"at_A1_103387","HHat_A1_103387","60-69","M"
"at_A1_103388","HHat_A1_103388","40-49","F"
"at_A1_103389","HHat_A1_103389","50-59","F"
"at_A1_103390","HHat_A1_103390","50-59","M"
"at_A1_103391","HHat_A1_103391","40-49","F"
"at_A1_103392","HHat_A1_103392","70-120","M"
"at_A1_103393","HHat_A1_103393","5-11","F"
"at_A1_103394","HHat_A1_103394","60-69","M"
"at_A1_103395","HHat_A1_103395","1-4","F"
"at_A1_103396","HHat_A1_103396","50-59","F"
"at_A1_103397","HHat_A1_103397","70-120","M"
"at_A1_103398","HHat_A1_103398","5-11","M"
"at_A1_103399","HHat_A1_103399","40-49","M"
"at_A1_103400","HHat_A1_103400","18-29","F"
"at_A1_103401","HHat_A1_103401","5-11","M"
"at_A1_103402","HHat_A1_103402","60-69","M"
"at_A1_103403","HHat_A1_103403","50-59","M"
"at_A1_103404","HHat_A1_103404","40-49","M"
"at_A1_103405","HHat_A1_103405","70-120","M"
"at_A1_103406","HHat_A1_103406","30-39","M"
"at_A1_103407","HHat_A1_103407","5-11","M"
"at_A1_103408","HHat_A1_103408","60-69","M"
"at_A1_103409","HHat_A1_103409","Under 1","F"
"at_A1_103410","HHat_A1_103410","60-69","M"
"at_A1_103411","HHat_A1_103411","60-69","M"
"at_A1_103412","HHat_A1_103412","40-49","M"
"at_A1_103413","HHat_A1_103413","60-69","F"
"at_A1_103414","HHat_A1_103414","30-39","M"
"at_A1_103415","HHat_A1_103415","60-69","F"
"at_A1_103416","HHat_A1_103416","18-29","F"
"at_A1_103417","HHat_A1_103417","60-69","M"
"at_A1_103418","HHat_A1_103418","60-69","M"
"at_A1_103419","HHat_A1_103419","30-39","F"
"at_A1_103420","HHat_A1_103420","18-29","M"
"at_A1_103421","HHat_A1_103421","40-49","F"
"at_A1_103422","HHat_A1_103422","50-59","F"
"at_A1_103423","HHat_A1_103423","60-69","F"
"at_A1_103424","HHat_A1_103424","50-59","M"
"at_A1_103425","HHat_A1_103425","30-39","M"
"at_A1_103426","HHat_A1_103426","18-29","M"
"at_A1_103427","HHat_A1_103427","40-49","F"
"at_A1_103428","HHat_A1_103428","1-4","F"
