"part_id","hh_id","part_age","part_gender"
10103010,"HH10103010","30-39","M"
10103011,"HH10103011","30-39","M"
10103012,"HH10103012","30-39","M"
10103013,"HH10103013","30-39","M"
10103014,"HH10103014","30-39","M"
10103101,"HH10103101","70-120","F"
10103105,"HH10103105","70-120","F"
10103107,"HH10103107","70-120","F"
10103110,"HH10103110","70-120","F"
10103111,"HH10103111","70-120","F"
10103113,"HH10103113","70-120","F"
10103201,"HH10103201","60-69","F"
10103203,"HH10103203","60-69","F"
10103205,"HH10103205","60-69","F"
10103207,"HH10103207","60-69","F"
10103209,"HH10103209","60-69","F"
10103210,"HH10103210","60-69","F"
10103211,"HH10103211","60-69","F"
10103212,"HH10103212","60-69","F"
10103213,"HH10103213","60-69","F"
10103215,"HH10103215","60-69","F"
10103301,"HH10103301","60-69","F"
10103401,"HH10103401","30-39","M"
10103410,"HH10103410","30-39","M"
10103411,"HH10103411","30-39","M"
10103412,"HH10103412","30-39","M"
10103413,"HH10103413","30-39","M"
10103414,"HH10103414","30-39","M"
10103415,"HH10103415","30-39","M"
10103501,"HH10103501","50-59","M"
10103601,"HH10103601","60-69","M"
10103604,"HH10103604","60-69","M"
10103605,"HH10103605","60-69","M"
10103607,"HH10103607","60-69","M"
10103608,"HH10103608","60-69","M"
10103610,"HH10103610","60-69","M"
10103612,"HH10103612","60-69","M"
10103614,"HH10103614","60-69","M"
10103615,"HH10103615","60-69","M"
10103701,"HH10103701","60-69","M"
10103704,"HH10103704","60-69","M"
10103801,"HH10103801","18-29","M"
10103807,"HH10103807","18-29","M"
10103809,"HH10103809","18-29","M"
10103810,"HH10103810","18-29","M"
10103811,"HH10103811","18-29","M"
10103812,"HH10103812","18-29","M"
10103813,"HH10103813","18-29","M"
10103814,"HH10103814","18-29","M"
10103815,"HH10103815","18-29","M"
10103901,"HH10103901","40-49","F"
10104001,"HH10104001","40-49","M"
10104004,"HH10104004","40-49","M"
10104005,"HH10104005","40-49","M"
10104007,"HH10104007","40-49","M"
10104008,"HH10104008","40-49","M"
10104101,"HH10104101","50-59","F"
10104105,"HH10104105","50-59","F"
10104107,"HH10104107","50-59","F"
