hh_id,country,hh_size
HH10315912,lt,2
HH10315913,lt,2
HH10315914,lt,2
HH10315915,lt,2
HH10316001,lt,2
HH10316003,lt,NA
HH10316004,lt,NA
HH10316005,lt,NA
HH10316007,lt,NA
HH10316008,lt,NA
HH10316009,lt,NA
HH10316010,lt,2
HH10316011,lt,2
HH10316012,lt,2
HH10316014,lt,2
HH10316101,lt,5
HH10316103,lt,NA
HH10316104,lt,NA
HH10316105,lt,NA
HH10316108,lt,NA
HH10316109,lt,NA
HH10316110,lt,5
HH10316111,lt,5
HH10316201,lt,2
HH10316203,lt,NA
HH10316204,lt,NA
HH10316205,lt,NA
HH10316208,lt,NA
HH10316210,lt,2
HH10316211,lt,2
HH10316212,lt,2
HH10316213,lt,2
HH10316214,lt,2
HH10316301,lt,2
HH10316303,lt,NA
HH10316304,lt,NA
HH10316305,lt,NA
HH10316307,lt,NA
HH10316308,lt,NA
HH10316310,lt,2
HH10316312,lt,2
HH10316313,lt,2
HH10316315,lt,2
HH10316401,lt,2
HH10316403,lt,NA
HH10316404,lt,NA
HH10316405,lt,NA
HH10316407,lt,NA
HH10316409,lt,NA
HH10316410,lt,2
HH10316411,lt,2
HH10316412,lt,2
HH10316413,lt,2
HH10316414,lt,2
HH10316415,lt,2
HH10316501,lt,4
HH10316601,lt,2
HH10316603,lt,NA
HH10316604,lt,NA
HH10316607,lt,NA
HH10316610,lt,2
HH10316611,lt,2
HH10316612,lt,2
HH10316613,lt,2
HH10316614,lt,2
HH10316615,lt,2
HH10316701,lt,2
HH10316703,lt,NA
HH10316704,lt,NA
HH10316705,lt,NA
HH10316707,lt,NA
HH10316709,lt,NA
HH10316801,lt,2
HH10316803,lt,NA
HH10316804,lt,NA
HH10316805,lt,NA
HH10316807,lt,NA
HH10316809,lt,NA
HH10316810,lt,2
HH10316812,lt,2
HH10316813,lt,2
HH10316815,lt,2
HH10316901,lt,2
HH10316903,lt,NA
HH10316904,lt,NA
HH10316905,lt,NA
HH10316907,lt,NA
HH10316908,lt,NA
HH10316910,lt,2
HH10316911,lt,2
HH10316912,lt,2
HH10316913,lt,2
HH10316914,lt,2
HH10317001,lt,1
HH10317003,lt,NA
HH10317004,lt,NA
HH10317005,lt,NA
HH10317007,lt,NA
HH10317008,lt,NA
HH10317010,lt,1
HH10317012,lt,1
HH10317013,lt,1
HH10317101,lt,2
HH10317103,lt,NA
HH10317104,lt,NA
HH10317105,lt,NA
HH10317109,lt,NA
HH10317201,lt,2
HH10317205,lt,NA
HH10317401,lt,8
HH10317403,lt,NA
HH10317501,lt,3
HH10317503,lt,NA
HH10317504,lt,NA
HH10317510,lt,2
HH10317511,lt,2
HH10317512,lt,2
HH10317515,lt,2
HH10317601,lt,2
HH10317603,lt,NA
HH10317604,lt,NA
HH10317608,lt,NA
HH10317610,lt,2
HH10317613,lt,2
HH10317614,lt,2
HH10317701,lt,1
HH10317703,lt,NA
HH10317704,lt,NA
HH10317705,lt,NA
HH10317709,lt,NA
HH10317710,lt,2
HH10317712,lt,2
HH10317801,lt,2
HH10317803,lt,NA
HH10317804,lt,NA
HH10317805,lt,NA
HH10317901,lt,2
HH10317904,lt,NA
HH10317905,lt,NA
HH10317907,lt,NA
HH10317909,lt,NA
HH10317910,lt,2
HH10317912,lt,2
HH10317913,lt,2
HH10317915,lt,2
HH10318001,lt,4
HH10318003,lt,NA
HH10318005,lt,NA
HH10318007,lt,NA
HH10318008,lt,NA
HH10318009,lt,NA
HH10318010,lt,4
HH10318011,lt,4
HH10318101,lt,1
HH10318103,lt,NA
HH10318104,lt,NA
HH10318105,lt,NA
HH10318109,lt,NA
HH10318110,lt,1
HH10318111,lt,1
HH10318112,lt,1
HH10318115,lt,1
HH10318201,lt,1
HH10318203,lt,NA
HH10318204,lt,NA
HH10318205,lt,NA
HH10318208,lt,NA
HH10318209,lt,NA
HH10318210,lt,1
HH10318211,lt,1
HH10318212,lt,1
HH10318301,lt,3
HH10318303,lt,NA
HH10318304,lt,NA
HH10318305,lt,NA
HH10318307,lt,NA
HH10318308,lt,NA
HH10318309,lt,NA
HH10318310,lt,3
HH10318312,lt,3
HH10318314,lt,1
HH10318315,lt,1
HH10318401,lt,3
HH10318410,lt,3
HH10318411,lt,3
HH10318412,lt,3
HH10318413,lt,3
HH10318414,lt,3
HH10318415,lt,3
HH10318501,lt,4
HH10318504,lt,NA
HH10318505,lt,NA
HH10318508,lt,NA
HH10318509,lt,NA
HH10318510,lt,4
HH10318511,lt,4
HH10318512,lt,4
HH10318513,lt,4
HH10318514,lt,4
HH10318515,lt,4
HH10318601,lt,3
HH10318608,lt,NA
HH10318609,lt,NA
HH10318610,lt,3
HH10318612,lt,3
HH10318613,lt,3
HH10318614,lt,3
HH10318615,lt,3
HH10318701,lt,3
HH10318703,lt,NA
HH10318708,lt,NA
HH10318709,lt,NA
HH10318801,lt,4
HH10318804,lt,NA
HH10318808,lt,NA
HH10318901,lt,4
HH10318908,lt,NA
HH10318910,lt,1
HH10318911,lt,2
HH10319001,lt,1
HH10319004,lt,NA
HH10319005,lt,NA
HH10319008,lt,NA
HH10319009,lt,NA
HH10319010,lt,1
HH10319011,lt,1
HH10319012,lt,1
HH10319013,lt,1
HH10319014,lt,1
HH10319101,lt,2
HH10319103,lt,NA
HH10319104,lt,NA
HH10319105,lt,NA
HH10319108,lt,NA
HH10319109,lt,NA
HH10319110,lt,2
HH10319111,lt,2
HH10319112,lt,2
HH10319114,lt,2
HH10319201,lt,4
HH10319203,lt,NA
HH10319208,lt,NA
HH10319209,lt,NA
HH10319210,lt,4
HH10319211,lt,4
HH10319212,lt,4
HH10319213,lt,4
HH10319214,lt,4
HH10319215,lt,4
HH10319301,lt,1
HH10319401,lt,3
HH10319403,lt,NA
HH10319408,lt,NA
HH10319409,lt,NA
HH10319410,lt,2
HH10319411,lt,2
HH10319412,lt,2
HH10319413,lt,2
HH10319414,lt,2
HH10319501,lt,1
HH10319503,lt,NA
HH10319504,lt,NA
HH10319505,lt,NA
HH10319507,lt,NA
HH10319510,lt,1
HH10319511,lt,1
HH10319512,lt,1
HH10319513,lt,1
HH10319515,lt,1
HH10319601,lt,3
HH10319604,lt,NA
HH10319610,lt,3
HH10319611,lt,3
HH10319612,lt,3
HH10319613,lt,3
HH10319701,lt,3
HH10319703,lt,NA
HH10319704,lt,NA
HH10319705,lt,NA
HH10319801,lt,2
HH10319810,lt,3
HH10319812,lt,3
HH10319901,lt,4
HH10320001,lt,3
HH10320003,lt,NA
HH10320004,lt,NA
HH10320010,lt,3
HH10320012,lt,3
HH10320013,lt,3
HH10320015,lt,3
HH10320101,lt,2
HH10320103,lt,NA
HH10320105,lt,NA
HH10320107,lt,NA
HH10320110,lt,2
HH10320112,lt,2
HH10320113,lt,2
HH10320201,lt,3
HH10320301,lt,2
HH10320310,lt,3
HH10320401,lt,3
HH10320404,lt,NA
HH10320410,lt,2
HH10320411,lt,2
HH10320413,lt,2
HH10320414,lt,2
HH10320415,lt,2
HH10320501,lt,4
HH10320503,lt,NA
HH10320510,lt,5
HH10320515,lt,5
HH10320601,lt,2
HH10320603,lt,NA
HH10320604,lt,NA
HH10320607,lt,NA
HH10320609,lt,NA
HH10320610,lt,2
HH10320611,lt,2
HH10320612,lt,2
HH10320614,lt,2
HH10320615,lt,2
HH10320701,lt,1
HH10320703,lt,NA
HH10320704,lt,NA
HH10320705,lt,NA
HH10320707,lt,NA
HH10320709,lt,NA
HH10320710,lt,1
HH10320712,lt,1
HH10320801,lt,1
HH10320901,lt,2
HH10320903,lt,NA
HH10320904,lt,NA
HH10320905,lt,NA
HH10320907,lt,NA
HH10320908,lt,NA
HH10320909,lt,NA
HH10320910,lt,2
HH10320911,lt,2
HH10320912,lt,2
HH10320915,lt,2
HH10321001,lt,5
HH10321101,lt,3
HH10321201,lt,4
HH10321208,lt,NA
HH10321210,lt,4
HH10321211,lt,4
HH10321301,lt,2
HH10321303,lt,NA
HH10321307,lt,NA
