"cont_id","cnt_relation","cnt_hospital","collection_period"
"1010_baseline_3",NA,NA,"baseline"
"1010_baseline_4",NA,NA,"baseline"
"1010_baseline_5",NA,NA,"baseline"
"1010_baseline_6",NA,NA,"baseline"
"1010_baseline_7",NA,NA,"baseline"
"1010_baseline_8",NA,NA,"baseline"
"1010_baseline_9",NA,NA,"baseline"
"1010_outbreak_1",1,FALSE,"outbreak"
"1010_outbreak_2",1,FALSE,"outbreak"
"1010_outbreak_3",1,FALSE,"outbreak"
"1011_baseline_1",NA,NA,"baseline"
"1011_baseline_2",NA,NA,"baseline"
"1011_baseline_3",NA,NA,"baseline"
"1011_baseline_4",NA,NA,"baseline"
"1011_baseline_5",NA,NA,"baseline"
"1011_outbreak_1",1,FALSE,"outbreak"
"1011_outbreak_2",1,FALSE,"outbreak"
"1012_baseline_1",NA,NA,"baseline"
"1012_baseline_10",NA,NA,"baseline"
"1012_baseline_11",NA,NA,"baseline"
"1012_baseline_12",NA,NA,"baseline"
"1012_baseline_2",NA,NA,"baseline"
"1012_baseline_3",NA,NA,"baseline"
"1012_baseline_4",NA,NA,"baseline"
"1012_baseline_5",NA,NA,"baseline"
"1012_baseline_6",NA,NA,"baseline"
"1012_baseline_7",NA,NA,"baseline"
"1012_baseline_8",NA,NA,"baseline"
"1012_baseline_9",NA,NA,"baseline"
"1012_outbreak_1",1,NA,"outbreak"
"1013_baseline_1",NA,NA,"baseline"
"1013_baseline_2",NA,NA,"baseline"
"1013_baseline_3",NA,NA,"baseline"
"1013_baseline_4",NA,NA,"baseline"
"1013_baseline_5",NA,NA,"baseline"
"1013_outbreak_1",1,FALSE,"outbreak"
"1013_outbreak_2",1,FALSE,"outbreak"
"1014_baseline_1",NA,NA,"baseline"
"1014_baseline_2",NA,NA,"baseline"
"1014_baseline_3",NA,NA,"baseline"
"1014_baseline_4",NA,NA,"baseline"
"1014_baseline_5",NA,NA,"baseline"
"1014_baseline_6",NA,NA,"baseline"
"1014_baseline_7",NA,NA,"baseline"
"1014_baseline_8",NA,NA,"baseline"
"1014_outbreak_1",1,FALSE,"outbreak"
"1015_baseline_1",NA,NA,"baseline"
"1015_baseline_10",NA,NA,"baseline"
"1015_baseline_11",NA,NA,"baseline"
"1015_baseline_12",NA,NA,"baseline"
"1015_baseline_13",NA,NA,"baseline"
"1015_baseline_14",NA,NA,"baseline"
"1015_baseline_15",NA,NA,"baseline"
"1015_baseline_16",NA,NA,"baseline"
"1015_baseline_2",NA,NA,"baseline"
"1015_baseline_3",NA,NA,"baseline"
"1015_baseline_4",NA,NA,"baseline"
"1015_baseline_5",NA,NA,"baseline"
"1015_baseline_6",NA,NA,"baseline"
"1015_baseline_7",NA,NA,"baseline"
"1015_baseline_8",NA,NA,"baseline"
"1015_baseline_9",NA,NA,"baseline"
"1015_outbreak_1",1,FALSE,"outbreak"
"1015_outbreak_2",1,FALSE,"outbreak"
"1015_outbreak_3",1,FALSE,"outbreak"
"1016_baseline_1",NA,NA,"baseline"
"1016_outbreak_1",1,FALSE,"outbreak"
"1018_baseline_1",NA,NA,"baseline"
"1018_baseline_10",NA,NA,"baseline"
"1018_baseline_11",NA,NA,"baseline"
"1018_baseline_12",NA,NA,"baseline"
"1018_baseline_13",NA,NA,"baseline"
"1018_baseline_14",NA,NA,"baseline"
"1018_baseline_2",NA,NA,"baseline"
"1018_baseline_3",NA,NA,"baseline"
"1018_baseline_4",NA,NA,"baseline"
"1018_baseline_5",NA,NA,"baseline"
"1018_baseline_6",NA,NA,"baseline"
"1018_baseline_7",NA,NA,"baseline"
"1018_baseline_8",NA,NA,"baseline"
"1018_baseline_9",NA,NA,"baseline"
"1018_outbreak_1",1,FALSE,"outbreak"
"1019_baseline_1",NA,NA,"baseline"
"1019_baseline_2",NA,NA,"baseline"
"1019_baseline_3",NA,NA,"baseline"
"1019_baseline_4",NA,NA,"baseline"
"1019_outbreak_1",1,FALSE,"outbreak"
"1019_outbreak_2",1,NA,"outbreak"
"1020_baseline_1",NA,NA,"baseline"
"1020_baseline_10",NA,NA,"baseline"
"1020_baseline_11",NA,NA,"baseline"
"1020_baseline_2",NA,NA,"baseline"
"1020_baseline_3",NA,NA,"baseline"
"1020_baseline_4",NA,NA,"baseline"
"1020_baseline_5",NA,NA,"baseline"
"1020_baseline_6",NA,NA,"baseline"
"1020_baseline_7",NA,NA,"baseline"
"1020_baseline_8",NA,NA,"baseline"
"1020_baseline_9",NA,NA,"baseline"
"1020_outbreak_1",1,FALSE,"outbreak"
"1021_baseline_1",NA,NA,"baseline"
"1021_baseline_2",NA,NA,"baseline"
"1021_outbreak_1",1,FALSE,"outbreak"
"1021_outbreak_2",1,FALSE,"outbreak"
"1022_baseline_1",NA,NA,"baseline"
"1022_outbreak_1",NA,NA,"outbreak"
"1023_baseline_1",NA,NA,"baseline"
"1023_baseline_10",NA,NA,"baseline"
"1023_baseline_11",NA,NA,"baseline"
"1023_baseline_12",NA,NA,"baseline"
"1023_baseline_13",NA,NA,"baseline"
"1023_baseline_14",NA,NA,"baseline"
"1023_baseline_15",NA,NA,"baseline"
"1023_baseline_16",NA,NA,"baseline"
"1023_baseline_17",NA,NA,"baseline"
"1023_baseline_18",NA,NA,"baseline"
"1023_baseline_19",NA,NA,"baseline"
"1023_baseline_2",NA,NA,"baseline"
"1023_baseline_20",NA,NA,"baseline"
"1023_baseline_21",NA,NA,"baseline"
"1023_baseline_22",NA,NA,"baseline"
"1023_baseline_23",NA,NA,"baseline"
"1023_baseline_24",NA,NA,"baseline"
"1023_baseline_25",NA,NA,"baseline"
"1023_baseline_26",NA,NA,"baseline"
"1023_baseline_27",NA,NA,"baseline"
"1023_baseline_28",NA,NA,"baseline"
"1023_baseline_29",NA,NA,"baseline"
"1023_baseline_3",NA,NA,"baseline"
"1023_baseline_30",NA,NA,"baseline"
"1023_baseline_31",NA,NA,"baseline"
"1023_baseline_32",NA,NA,"baseline"
"1023_baseline_33",NA,NA,"baseline"
"1023_baseline_34",NA,NA,"baseline"
"1023_baseline_35",NA,NA,"baseline"
"1023_baseline_36",NA,NA,"baseline"
"1023_baseline_37",NA,NA,"baseline"
"1023_baseline_38",NA,NA,"baseline"
"1023_baseline_39",NA,NA,"baseline"
"1023_baseline_4",NA,NA,"baseline"
"1023_baseline_40",NA,NA,"baseline"
"1023_baseline_41",NA,NA,"baseline"
"1023_baseline_42",NA,NA,"baseline"
"1023_baseline_43",NA,NA,"baseline"
"1023_baseline_44",NA,NA,"baseline"
"1023_baseline_45",NA,NA,"baseline"
"1023_baseline_46",NA,NA,"baseline"
"1023_baseline_47",NA,NA,"baseline"
"1023_baseline_48",NA,NA,"baseline"
"1023_baseline_49",NA,NA,"baseline"
"1023_baseline_5",NA,NA,"baseline"
"1023_baseline_50",NA,NA,"baseline"
"1023_baseline_51",NA,NA,"baseline"
"1023_baseline_52",NA,NA,"baseline"
"1023_baseline_53",NA,NA,"baseline"
"1023_baseline_54",NA,NA,"baseline"
"1023_baseline_55",NA,NA,"baseline"
"1023_baseline_56",NA,NA,"baseline"
"1023_baseline_57",NA,NA,"baseline"
"1023_baseline_58",NA,NA,"baseline"
"1023_baseline_59",NA,NA,"baseline"
"1023_baseline_6",NA,NA,"baseline"
"1023_baseline_60",NA,NA,"baseline"
"1023_baseline_61",NA,NA,"baseline"
"1023_baseline_62",NA,NA,"baseline"
"1023_baseline_63",NA,NA,"baseline"
"1023_baseline_64",NA,NA,"baseline"
"1023_baseline_65",NA,NA,"baseline"
"1023_baseline_66",NA,NA,"baseline"
"1023_baseline_67",NA,NA,"baseline"
"1023_baseline_68",NA,NA,"baseline"
"1023_baseline_69",NA,NA,"baseline"
"1023_baseline_7",NA,NA,"baseline"
"1023_baseline_70",NA,NA,"baseline"
"1023_baseline_71",NA,NA,"baseline"
"1023_baseline_72",NA,NA,"baseline"
"1023_baseline_73",NA,NA,"baseline"
"1023_baseline_74",NA,NA,"baseline"
"1023_baseline_75",NA,NA,"baseline"
"1023_baseline_76",NA,NA,"baseline"
"1023_baseline_77",NA,NA,"baseline"
"1023_baseline_78",NA,NA,"baseline"
"1023_baseline_79",NA,NA,"baseline"
"1023_baseline_8",NA,NA,"baseline"
"1023_baseline_80",NA,NA,"baseline"
"1023_baseline_9",NA,NA,"baseline"
"1023_outbreak_1",1,FALSE,"outbreak"
"1024_baseline_1",NA,NA,"baseline"
"1024_baseline_2",NA,NA,"baseline"
"1024_outbreak_1",2,FALSE,"outbreak"
"1025_baseline_1",NA,NA,"baseline"
"1025_baseline_10",NA,NA,"baseline"
"1025_baseline_100",NA,NA,"baseline"
"1025_baseline_11",NA,NA,"baseline"
"1025_baseline_12",NA,NA,"baseline"
"1025_baseline_13",NA,NA,"baseline"
"1025_baseline_14",NA,NA,"baseline"
"1025_baseline_15",NA,NA,"baseline"
"1025_baseline_16",NA,NA,"baseline"
"1025_baseline_17",NA,NA,"baseline"
"1025_baseline_18",NA,NA,"baseline"
"1025_baseline_19",NA,NA,"baseline"
"1025_baseline_2",NA,NA,"baseline"
"1025_baseline_20",NA,NA,"baseline"
"1025_baseline_21",NA,NA,"baseline"
"1025_baseline_22",NA,NA,"baseline"
"1025_baseline_23",NA,NA,"baseline"
"1025_baseline_24",NA,NA,"baseline"
"1025_baseline_25",NA,NA,"baseline"
"1025_baseline_26",NA,NA,"baseline"
"1025_baseline_27",NA,NA,"baseline"
"1025_baseline_28",NA,NA,"baseline"
"1025_baseline_29",NA,NA,"baseline"
"1025_baseline_3",NA,NA,"baseline"
"1025_baseline_30",NA,NA,"baseline"
"1025_baseline_31",NA,NA,"baseline"
"1025_baseline_32",NA,NA,"baseline"
"1025_baseline_33",NA,NA,"baseline"
"1025_baseline_34",NA,NA,"baseline"
"1025_baseline_35",NA,NA,"baseline"
"1025_baseline_36",NA,NA,"baseline"
"1025_baseline_37",NA,NA,"baseline"
"1025_baseline_38",NA,NA,"baseline"
"1025_baseline_39",NA,NA,"baseline"
"1025_baseline_4",NA,NA,"baseline"
"1025_baseline_40",NA,NA,"baseline"
"1025_baseline_41",NA,NA,"baseline"
"1025_baseline_42",NA,NA,"baseline"
"1025_baseline_43",NA,NA,"baseline"
"1025_baseline_44",NA,NA,"baseline"
"1025_baseline_45",NA,NA,"baseline"
"1025_baseline_46",NA,NA,"baseline"
"1025_baseline_47",NA,NA,"baseline"
"1025_baseline_48",NA,NA,"baseline"
"1025_baseline_49",NA,NA,"baseline"
"1025_baseline_5",NA,NA,"baseline"
"1025_baseline_50",NA,NA,"baseline"
"1025_baseline_51",NA,NA,"baseline"
"1025_baseline_52",NA,NA,"baseline"
"1025_baseline_53",NA,NA,"baseline"
"1025_baseline_54",NA,NA,"baseline"
"1025_baseline_55",NA,NA,"baseline"
"1025_baseline_56",NA,NA,"baseline"
"1025_baseline_57",NA,NA,"baseline"
"1025_baseline_58",NA,NA,"baseline"
"1025_baseline_59",NA,NA,"baseline"
"1025_baseline_6",NA,NA,"baseline"
"1025_baseline_60",NA,NA,"baseline"
"1025_baseline_61",NA,NA,"baseline"
"1025_baseline_62",NA,NA,"baseline"
"1025_baseline_63",NA,NA,"baseline"
"1025_baseline_64",NA,NA,"baseline"
"1025_baseline_65",NA,NA,"baseline"
"1025_baseline_66",NA,NA,"baseline"
"1025_baseline_67",NA,NA,"baseline"
"1025_baseline_68",NA,NA,"baseline"
"1025_baseline_69",NA,NA,"baseline"
"1025_baseline_7",NA,NA,"baseline"
"1025_baseline_70",NA,NA,"baseline"
"1025_baseline_71",NA,NA,"baseline"
"1025_baseline_72",NA,NA,"baseline"
"1025_baseline_73",NA,NA,"baseline"
"1025_baseline_74",NA,NA,"baseline"
"1025_baseline_75",NA,NA,"baseline"
"1025_baseline_76",NA,NA,"baseline"
"1025_baseline_77",NA,NA,"baseline"
"1025_baseline_78",NA,NA,"baseline"
"1025_baseline_79",NA,NA,"baseline"
"1025_baseline_8",NA,NA,"baseline"
"1025_baseline_80",NA,NA,"baseline"
"1025_baseline_81",NA,NA,"baseline"
"1025_baseline_82",NA,NA,"baseline"
"1025_baseline_83",NA,NA,"baseline"
"1025_baseline_84",NA,NA,"baseline"
"1025_baseline_85",NA,NA,"baseline"
"1025_baseline_86",NA,NA,"baseline"
"1025_baseline_87",NA,NA,"baseline"
"1025_baseline_88",NA,NA,"baseline"
"1025_baseline_89",NA,NA,"baseline"
"1025_baseline_9",NA,NA,"baseline"
"1025_baseline_90",NA,NA,"baseline"
"1025_baseline_91",NA,NA,"baseline"
"1025_baseline_92",NA,NA,"baseline"
"1025_baseline_93",NA,NA,"baseline"
"1025_baseline_94",NA,NA,"baseline"
"1025_baseline_95",NA,NA,"baseline"
"1025_baseline_96",NA,NA,"baseline"
"1025_baseline_97",NA,NA,"baseline"
"1025_baseline_98",NA,NA,"baseline"
"1025_baseline_99",NA,NA,"baseline"
"1025_outbreak_1",NA,NA,"outbreak"
"1025_outbreak_2",NA,NA,"outbreak"
"1026_baseline_1",NA,NA,"baseline"
"1026_baseline_2",NA,NA,"baseline"
