hh_id,country,hh_size,hh_size_reported
HH1047100,NL,2,6
HH1047200,NL,2,2
HH1047700,NL,2,2
HH1047900,NL,2,2
HH1048000,NL,1,4
HH1048100,NL,1,1
HH1048300,NL,1,NA
HH1048500,NL,1,NA
HH1048900,NL,1,2
HH1049100,NL,4,4
HH1049300,NL,4,4
HH1049400,NL,2,2
HH1049600,NL,1,4
HH1049700,NL,4,4
HH1049800,NL,3,3
HH1050100,NL,1,1
HH1050300,NL,2,2
HH1050400,NL,1,5
HH1050500,NL,4,4
HH1050600,NL,3,2
HH1050700,NL,3,3
HH1050800,NL,4,4
HH1050900,NL,2,2
HH1051400,NL,2,2
HH1051500,NL,1,1
HH1051900,NL,2,NA
HH1052000,NL,1,2
HH1052100,NL,2,2
HH1052400,NL,1,1
HH1052500,NL,2,2
HH1052700,NL,3,3
HH1052900,NL,4,4
HH1053000,NL,1,NA
HH1053200,NL,3,3
HH1053400,NL,1,2
HH1053500,NL,1,3
HH1053800,NL,3,2
HH1053900,NL,3,3
HH1054100,NL,4,4
HH1054200,NL,2,2
HH1054300,NL,1,2
HH1054700,NL,5,6
HH1054800,NL,3,2
HH1054900,NL,1,1
HH1055100,NL,1,NA
HH1055200,NL,2,45
HH1055400,NL,2,4
HH1055600,NL,2,2
HH1055700,NL,6,6
HH1055800,NL,2,2
HH1056500,NL,1,1
HH1056600,NL,1,3
HH1056700,NL,2,2
HH1057400,NL,1,NA
HH1057500,NL,2,2
HH1057600,NL,2,2
HH1057700,NL,2,2
HH1057800,NL,3,3
HH1058400,NL,2,1
HH1058500,NL,2,2
HH1058800,NL,3,3
HH1059200,NL,1,1
HH1059400,NL,3,2
HH1059700,NL,1,3
HH1059900,NL,4,4
HH1060100,NL,3,3
HH1060700,NL,1,1
HH1061300,NL,2,4
HH1061500,NL,4,4
HH1061800,NL,4,4
HH1061900,NL,3,2
HH1062000,NL,3,3
HH1062100,NL,2,2
HH1062200,NL,3,2
HH1063300,NL,2,2
HH1063500,NL,2,2
HH1063800,NL,2,2
HH1064100,NL,2,2
HH1064300,NL,4,4
HH1064500,NL,3,3
HH1064600,NL,3,2
HH1065000,NL,1,1
HH1065400,NL,2,2
HH1065600,NL,1,1
HH1065700,NL,2,2
HH1065900,NL,3,3
HH1066000,NL,5,5
HH1066100,NL,4,4
HH1066400,NL,4,4
HH1066500,NL,3,2
HH1066600,NL,4,4
HH1066800,NL,2,1
HH1067000,NL,1,1
HH1067300,NL,4,3
HH1067500,NL,3,3
HH1067600,NL,3,2
HH1067700,NL,1,NA
HH1068000,NL,2,2
HH1068100,NL,5,5
HH1068400,NL,2,2
HH1068500,NL,2,3
HH1069000,NL,4,4
HH1069300,NL,1,4
HH1069500,NL,1,2
HH1069600,NL,1,1
HH1069700,NL,5,5
HH1070300,NL,1,4
HH1070400,NL,1,1
HH1070600,NL,2,2
HH1070800,NL,2,2
HH1070900,NL,1,1
HH1071000,NL,4,4
HH1071100,NL,2,2
HH1071200,NL,4,4
HH1071400,NL,4,4
HH1071700,NL,2,2
HH1071800,NL,2,2
HH1072000,NL,7,7
HH1072500,NL,1,4
HH1072700,NL,3,3
HH1072800,NL,5,5
HH1073000,NL,4,4
HH1073100,NL,2,2
HH1073200,NL,3,2
HH1073400,NL,5,5
HH1073500,NL,2,2
HH1073700,NL,2,3
HH1073800,NL,2,2
HH1073900,NL,1,1
HH1074000,NL,2,2
HH1074200,NL,3,5
HH1074400,NL,4,4
HH1074500,NL,3,2
HH1074600,NL,6,5
HH1075000,NL,1,2
HH1075600,NL,2,2
HH1076000,NL,4,4
HH1076200,NL,3,3
HH1076400,NL,1,1
HH1076800,NL,1,1
HH1077000,NL,5,4
HH1077100,NL,2,2
HH1077200,NL,2,2
HH1077400,NL,5,5
HH1077500,NL,1,NA
HH1077700,NL,5,5
HH1077800,NL,1,1
HH1078500,NL,6,6
HH1078700,NL,2,2
HH1078800,NL,2,1
HH1079000,NL,4,4
HH1079100,NL,4,4
HH1079500,NL,2,2
HH1079700,NL,1,1
HH1079800,NL,4,4
HH1080000,NL,6,63
HH1080700,NL,2,2
HH1080800,NL,2,5
HH1081200,NL,2,2
HH1081600,NL,3,3
HH1081900,NL,5,5
HH1082200,NL,5,5
HH1082400,NL,1,1
HH1082500,NL,4,4
HH1082600,NL,5,5
HH1082700,NL,2,4
HH1083000,NL,4,4
HH1083400,NL,4,4
HH1083500,NL,2,2
HH1083600,NL,2,2
HH1083900,NL,2,2
HH1084400,NL,1,6
HH1084600,NL,2,2
HH1085000,NL,1,2
HH1085100,NL,4,4
HH1085400,NL,2,2
HH1085800,NL,2,2
HH1085900,NL,1,4
HH1086000,NL,4,4
HH1086100,NL,4,4
HH1086400,NL,4,48
HH1086600,NL,1,3
HH1086700,NL,7,7
HH1086800,NL,5,6
HH1086900,NL,2,2
HH1087200,NL,4,4
HH1087700,NL,4,4
HH1087900,NL,4,4
HH1088100,NL,4,4
HH1088200,NL,4,4
HH1088500,NL,2,2
HH1089000,NL,4,4
HH1089100,NL,10,10
HH1089200,NL,4,4
HH1089600,NL,2,2
HH1089900,NL,4,4
HH1090200,NL,2,2
HH1090300,NL,1,1
HH1090400,NL,4,4
HH1090800,NL,1,5
HH1090900,NL,2,5
HH1091200,NL,5,5
HH1091700,NL,5,5
HH1091800,NL,5,5
HH1092100,NL,3,3
HH1092200,NL,2,2
HH1092500,NL,1,1
HH1092600,NL,2,3
HH1093000,NL,2,3
HH1093100,NL,5,5
HH1093200,NL,4,4
HH1093300,NL,5,5
HH1093500,NL,4,4
HH1093600,NL,1,1
HH1093900,NL,4,4
HH1094000,NL,2,2
HH1094100,NL,2,2
HH1094200,NL,4,4
HH1094300,NL,6,6
HH1094700,NL,4,42
HH1094800,NL,2,2
HH1094900,NL,1,1
HH1095100,NL,4,4
HH1095400,NL,4,4
HH1095500,NL,2,2
HH1095600,NL,1,2
HH1095700,NL,2,2
HH1095900,NL,1,1
HH1096300,NL,2,2
HH1096500,NL,3,3
HH1096600,NL,1,1
HH1096700,NL,5,5
HH1097000,NL,3,3
HH1097900,NL,4,36
HH1098400,NL,2,2
HH1098500,NL,2,2
HH1098800,NL,1,50
HH1098900,NL,2,2
HH1099100,NL,5,5
HH1099200,NL,1,2
HH1099900,NL,2,4
HH1100100,NL,3,3
HH1100300,NL,1,NA
HH1100500,NL,1,3
HH1100800,NL,2,2
HH1101000,NL,2,2
HH1101100,NL,1,44
HH1101300,NL,5,4
HH1101400,NL,1,1
HH1101500,NL,2,1
HH1101600,NL,4,4
HH1101800,NL,4,3
HH1102200,NL,4,4
HH1102400,NL,2,2
HH1102700,NL,1,1
HH1102800,NL,1,3
HH1103200,NL,3,4
HH1103600,NL,4,4
HH1103900,NL,3,3
HH1104100,NL,3,3
HH1104300,NL,4,4
HH1104400,NL,5,5
HH1104600,NL,3,3
HH1104700,NL,3,3
HH1104900,NL,2,2
HH1105000,NL,3,3
HH1105600,NL,4,4
HH1105700,NL,4,4
HH1105800,NL,2,3
HH1105900,NL,5,5
HH1106300,NL,2,3
HH1106400,NL,5,58
HH1106500,NL,3,3
HH1106800,NL,2,2
HH1107200,NL,1,1
HH1107300,NL,2,2
HH1107500,NL,1,3
HH1108200,NL,4,4
HH1108700,NL,1,NA
HH1108800,NL,4,4
HH1108900,NL,6,6
HH1109000,NL,1,1
HH1109300,NL,2,2
HH1109500,NL,4,4
HH1109600,NL,4,3
HH1109800,NL,5,5
HH1110100,NL,5,5
HH1110200,NL,2,5
HH1110700,NL,2,2
HH1110800,NL,2,2
HH1111000,NL,2,2
HH1111100,NL,1,1
HH1111200,NL,5,4
HH1111600,NL,3,3
HH1111700,NL,2,3
HH1111800,NL,2,6
HH1111900,NL,2,2
HH1112100,NL,1,1
HH1112200,NL,5,5
HH1112300,NL,4,4
HH1112700,NL,3,3
HH1112800,NL,1,6
HH1113200,NL,2,2
HH1113300,NL,1,1
HH1113400,NL,2,5
HH1113500,NL,5,5
HH1113600,NL,2,4
HH1113700,NL,2,2
HH1113900,NL,2,2
HH1114000,NL,2,2
HH1114100,NL,4,4
HH1114200,NL,2,NA
HH1114300,NL,2,2
HH1114400,NL,4,4
HH1114900,NL,2,4
HH1115000,NL,4,4
HH1115100,NL,5,8
HH1115400,NL,1,2
HH1115600,NL,6,6
HH1116200,NL,2,2
HH1116400,NL,4,4
HH1116500,NL,2,5
HH1116700,NL,4,4
HH1116800,NL,4,4
HH1116900,NL,2,2
HH1117400,NL,4,4
HH1117500,NL,2,2
HH1117600,NL,1,1
HH1117700,NL,1,2
HH1117900,NL,3,3
HH1118000,NL,2,4
HH1118500,NL,1,1
HH1118700,NL,4,4
HH1118800,NL,3,3
HH1118900,NL,6,6
HH1119000,NL,1,5
HH1119100,NL,2,2
HH1119200,NL,4,1
HH1119300,NL,3,3
HH1119400,NL,2,2
HH1120100,NL,2,3
HH1120200,NL,3,3
HH1120300,NL,4,3
HH1120500,NL,3,3
HH1120600,NL,1,1
HH1120700,NL,4,4
HH1120800,NL,3,2
HH1121200,NL,2,2
HH1121300,NL,5,5
HH1121500,NL,4,4
HH1121600,NL,5,5
HH1121900,NL,5,5
HH1122100,NL,2,2
HH1122300,NL,1,1
HH1122500,NL,4,4
HH1122700,NL,2,2
HH1122800,NL,2,2
HH1122900,NL,2,2
HH1123000,NL,3,2
HH1123100,NL,2,2
HH1123200,NL,5,5
HH1123400,NL,2,2
HH1123600,NL,4,4
HH1123800,NL,1,5
HH1123900,NL,3,3
HH1124000,NL,2,2
HH1124200,NL,1,4
HH1124300,NL,2,3
HH1124500,NL,2,3
HH1124800,NL,4,4
HH1125000,NL,1,2
HH1125500,NL,5,5
HH1125700,NL,5,5
HH1125800,NL,2,4
HH1125900,NL,2,1
HH1126200,NL,2,1
HH1126500,NL,5,5
HH1126700,NL,3,4
HH1126800,NL,4,4
HH1127000,NL,4,4
HH1127300,NL,2,2
HH1127400,NL,4,4
HH1127500,NL,2,3
HH1127600,NL,2,2
HH1128100,NL,3,3
HH1128400,NL,1,1
HH1128500,NL,2,2
HH1128700,NL,2,2
HH1128800,NL,4,4
HH1129000,NL,1,6
HH1129300,NL,2,5
HH1129500,NL,3,3
HH1129600,NL,2,3
HH1129800,NL,1,1
HH1130100,NL,1,1
HH1130200,NL,2,4
HH1130300,NL,5,5
HH1130700,NL,2,NA
HH1131000,NL,2,2
HH1131500,NL,1,NA
HH1131600,NL,1,NA
HH1131700,NL,4,4
HH1131800,NL,5,5
HH1131900,NL,2,NA
HH1132000,NL,5,5
HH1132100,NL,2,2
HH1132500,NL,1,3
HH1132600,NL,3,3
HH1132700,NL,5,5
HH1132800,NL,4,4
HH1133200,NL,4,4
HH1133500,NL,1,1
HH1133700,NL,2,2
HH1133800,NL,1,1
HH1133900,NL,2,63
HH1134200,NL,1,NA
HH1134300,NL,4,4
HH1134500,NL,2,2
HH1134600,NL,4,4
HH1134700,NL,2,2
HH1134900,NL,3,3
HH1135200,NL,5,5
HH1135300,NL,1,1
HH1135500,NL,3,3
HH1136100,NL,3,3
HH1136300,NL,1,2
HH1136700,NL,4,4
HH1137000,NL,5,5
HH1137200,NL,5,5
HH1137700,NL,1,NA
HH1137800,NL,4,4
HH1138200,NL,3,3
HH1138300,NL,5,5
HH1138500,NL,1,NA
HH1138800,NL,2,2
HH1139600,NL,4,4
HH1139900,NL,4,4
HH1140400,NL,2,2
HH1140800,NL,1,2
HH1141200,NL,5,5
HH1141300,NL,2,2
HH1141400,NL,3,3
HH1141700,NL,3,3
HH1141800,NL,3,3
HH1141900,NL,1,6
HH1142000,NL,2,3
HH1142100,NL,5,5
HH1142200,NL,2,3
HH1142400,NL,2,2
HH1143200,NL,4,4
HH1143300,NL,1,1
HH1143500,NL,3,3
HH1143600,NL,4,4
HH1143700,NL,4,4
HH1143800,NL,1,NA
HH1144100,NL,2,2
HH1144200,NL,5,5
HH1144900,NL,4,4
HH1145000,NL,2,2
HH1145200,NL,4,42
HH1145600,NL,2,2
HH1145800,NL,5,5
HH1146000,NL,1,2
HH1146100,NL,3,3
HH1146300,NL,1,2
HH1146400,NL,1,5
HH1146600,NL,2,4
HH1147200,NL,1,3
HH1147300,NL,4,4
HH1147400,NL,2,2
HH1147600,NL,8,8
HH1147800,NL,7,7
HH1148000,NL,4,4
HH1148300,NL,1,NA
HH1148700,NL,5,5
HH1148800,NL,2,2
HH1149000,NL,6,6
HH1149300,NL,4,4
HH1149500,NL,2,2
HH1149700,NL,2,3
HH1149900,NL,5,5
HH1150000,NL,3,3
HH1150100,NL,3,3
HH1150300,NL,1,3
HH1150600,NL,5,5
HH1151000,NL,5,5
HH1151100,NL,4,4
HH1151800,NL,3,3
HH1152000,NL,5,4
HH1152100,NL,1,NA
HH1152300,NL,2,2
HH1152400,NL,1,1
HH1152500,NL,3,3
HH1152600,NL,2,2
HH1152700,NL,5,5
HH1152800,NL,2,27
HH1152900,NL,4,4
HH1153000,NL,2,4
HH1153800,NL,2,2
HH1153900,NL,3,3
HH1154200,NL,1,1
HH1154300,NL,1,1
HH1154400,NL,2,2
HH1154700,NL,3,3
HH1154800,NL,2,3
HH1154900,NL,5,5
HH1155000,NL,5,5
HH1155200,NL,4,3
HH1155300,NL,1,NA
HH1155600,NL,4,4
HH1155700,NL,4,4
HH1156000,NL,3,3
HH1156200,NL,7,9
HH1156300,NL,2,2
HH1156500,NL,4,4
HH1156600,NL,6,5
HH1156700,NL,2,2
HH1156800,NL,2,5
HH1157000,NL,3,3
HH1157100,NL,2,4
HH1157200,NL,1,NA
HH1157400,NL,2,2
HH1157500,NL,2,2
HH1157600,NL,2,2
HH1157800,NL,2,2
HH1159000,NL,2,2
HH1159100,NL,4,4
HH1159200,NL,1,1
HH1159600,NL,5,54
HH1159700,NL,3,3
HH1160000,NL,1,1
HH1160100,NL,4,4
HH1160400,NL,2,2
HH1160500,NL,2,2
HH1160800,NL,3,3
HH1160900,NL,5,5
HH1161000,NL,2,4
HH1161100,NL,4,4
HH1161200,NL,2,3
HH1161500,NL,2,2
HH1161800,NL,1,1
HH1162100,NL,4,4
HH1162200,NL,2,6
HH1162400,NL,1,1
HH1162500,NL,3,3
HH1162600,NL,2,2
HH1162800,NL,4,4
HH1163000,NL,4,4
HH1163300,NL,4,4
HH1163400,NL,3,3
HH1163500,NL,1,2
HH1163600,NL,2,2
HH1163700,NL,1,3
HH1164000,NL,4,4
HH1164200,NL,5,5
HH1164400,NL,3,3
HH1164500,NL,3,4
HH1164800,NL,4,4
HH1164900,NL,3,3
HH1165100,NL,2,2
HH1165200,NL,7,7
HH1165300,NL,3,4
HH1165500,NL,2,2
HH1165700,NL,4,4
HH1165800,NL,5,5
HH1165900,NL,2,2
HH1166100,NL,2,2
HH1166200,NL,2,3
HH1166800,NL,2,1
HH1167000,NL,3,3
HH1167200,NL,2,2
HH1167300,NL,4,4
HH1167400,NL,11,13
HH1167600,NL,1,1
HH1167700,NL,5,5
HH1167800,NL,1,2
HH1168100,NL,3,3
HH1168500,NL,1,1
HH1168600,NL,2,6
HH1168800,NL,4,4
HH1168900,NL,3,3
HH1169000,NL,2,2
HH1169200,NL,3,3
HH1169300,NL,2,3
HH1170000,NL,3,4
HH1170100,NL,5,5
HH1170200,NL,4,4
HH1170300,NL,3,3
HH1170500,NL,4,4
HH1170600,NL,1,NA
HH1170700,NL,1,1
HH1171000,NL,2,3
HH1171100,NL,2,3
HH1171200,NL,2,2
HH1171300,NL,2,2
HH1171400,NL,1,4
HH1171500,NL,3,3
HH1171600,NL,5,5
HH1171700,NL,3,2
HH1172000,NL,1,1
HH1172300,NL,5,5
HH1172900,NL,3,2
HH1173000,NL,2,2
HH1173200,NL,1,3
HH1173300,NL,2,2
HH1173400,NL,3,1
HH1173700,NL,4,4
HH1173900,NL,3,3
HH1174100,NL,2,2
HH1174200,NL,1,NA
HH1174300,NL,3,2
HH1174500,NL,4,4
HH1174600,NL,4,4
HH1174900,NL,2,2
HH1175100,NL,4,4
HH1175600,NL,3,3
HH1175700,NL,5,5
HH1175800,NL,1,NA
HH1175900,NL,4,4
HH1176000,NL,2,22
HH1176300,NL,2,1
HH1176400,NL,6,6
HH1176700,NL,3,35
HH1176800,NL,2,2
HH1177000,NL,1,4
HH1177200,NL,2,2
HH1177400,NL,2,2
HH1177600,NL,2,2
HH1177700,NL,4,4
HH1177900,NL,2,2
HH1178100,NL,2,2
HH1178200,NL,5,5
HH1178300,NL,4,4
HH1178400,NL,4,4
HH1178600,NL,5,5
HH1178700,NL,2,2
HH1178800,NL,1,3
HH1179500,NL,3,3
HH1179600,NL,3,3
HH1179700,NL,1,1
HH1180000,NL,1,2
HH1180400,NL,4,4
HH1180800,NL,4,4
HH1181200,NL,6,6
HH1181300,NL,1,1
HH1181400,NL,1,4
HH1181500,NL,2,2
HH1181800,NL,3,3
HH1182400,NL,2,3
HH1183100,NL,4,4
HH1183200,NL,2,2
HH1183300,NL,2,3
HH1183500,NL,2,2
HH1183600,NL,3,3
HH1183800,NL,1,NA
HH1183900,NL,1,1
HH1184000,NL,1,NA
HH1184200,NL,1,1
HH1184300,NL,1,1
HH1184400,NL,1,4
HH1185000,NL,1,1
HH1185200,NL,6,6
HH1186200,NL,2,3
HH1186300,NL,2,3
HH1186400,NL,5,5
HH1186500,NL,2,2
HH1186700,NL,5,5
HH1187400,NL,4,4
HH1187700,NL,5,5
HH1187900,NL,5,5
HH1188000,NL,2,4
HH1188200,NL,1,NA
HH1188400,NL,4,4
HH1188700,NL,1,3
HH1189100,NL,2,2
HH1189300,NL,3,3
HH1189600,NL,5,5
HH1189700,NL,5,5
HH1189800,NL,1,2
HH1190200,NL,4,4
HH1190400,NL,2,2
HH1190700,NL,5,5
HH1191000,NL,3,3
HH1191100,NL,5,5
HH1191300,NL,3,3
HH1191400,NL,6,6
HH1191500,NL,1,NA
HH1191600,NL,1,4
HH1191700,NL,2,2
HH1191800,NL,3,3
HH1192000,NL,2,2
HH1192300,NL,5,5
HH1192500,NL,3,3
HH1192600,NL,4,4
HH1192800,NL,2,2
HH1193000,NL,3,3
HH1193100,NL,5,5
HH1193400,NL,2,2
HH1193700,NL,2,3
HH1193900,NL,2,2
HH1194300,NL,1,NA
HH1194400,NL,3,3
HH1194500,NL,5,6
HH1194700,NL,2,4
HH1195000,NL,1,1
HH1195300,NL,4,4
HH1195400,NL,1,4
HH1195600,NL,1,1
HH1195800,NL,4,4
HH1196400,NL,4,4
HH1196600,NL,5,4
HH1196900,NL,2,2
HH1197000,NL,4,3
HH1197200,NL,2,4
HH1197400,NL,2,5
HH1197500,NL,4,4
HH1197700,NL,1,3
HH1197800,NL,5,5
HH1198000,NL,2,2
HH1198100,NL,2,3
HH1198200,NL,1,1
HH1198300,NL,3,3
HH1198400,NL,2,2
HH1198700,NL,2,2
HH1198900,NL,4,4
HH1199200,NL,2,2
HH1199300,NL,3,3
HH1199600,NL,9,NA
HH1199700,NL,2,2
HH1199800,NL,2,2
HH1200000,NL,2,2
HH1200200,NL,9,14
HH1200700,NL,1,2
HH1200900,NL,2,5
HH1201000,NL,2,1
HH1201300,NL,2,1
HH1201400,NL,2,2
HH1201600,NL,3,3
HH1201700,NL,1,4
HH1201800,NL,3,3
HH1202000,NL,1,1
HH1202300,NL,2,2
HH1202400,NL,4,4
HH1202500,NL,2,2
HH1202700,NL,3,2
HH1202800,NL,1,1
