"part_id","hh_id","part_age","part_gender"
"be_A1_100120","HHbe_A1_100120","12-15","male"
"be_A1_100121","HHbe_A1_100121","30-39","male"
"be_A1_100122","HHbe_A1_100122","70-120","male"
"be_A1_100123","HHbe_A1_100123","60-69","male"
"be_A1_100124","HHbe_A1_100124","12-15","female"
"be_A1_100125","HHbe_A1_100125","30-39","female"
"be_A1_100126","HHbe_A1_100126","50-59","male"
"be_A1_100127","HHbe_A1_100127","40-49","male"
"be_A1_100128","HHbe_A1_100128","60-69","male"
"be_A1_100129","HHbe_A1_100129","60-69","male"
"be_A1_100130","HHbe_A1_100130","30-39","female"
"be_A1_100131","HHbe_A1_100131","30-39","female"
"be_A1_100132","HHbe_A1_100132","50-59","female"
"be_A1_100133","HHbe_A1_100133","12-15","male"
"be_A1_100134","HHbe_A1_100134","50-59","female"
"be_A1_100135","HHbe_A1_100135","50-59","female"
"be_A1_100136","HHbe_A1_100136","40-49","female"
"be_A1_100137","HHbe_A1_100137","5-11","male"
"be_A1_100138","HHbe_A1_100138","60-69","female"
"be_A1_100139","HHbe_A1_100139","70-120","female"
"be_A1_100140","HHbe_A1_100140","1-4","male"
"be_A1_100141","HHbe_A1_100141","50-59","female"
"be_A1_100142","HHbe_A1_100142","30-39","female"
"be_A1_100143","HHbe_A1_100143","5-11","female"
"be_A1_100144","HHbe_A1_100144","60-69","male"
"be_A1_100145","HHbe_A1_100145","12-15","male"
"be_A1_100146","HHbe_A1_100146","60-69","male"
"be_A1_100147","HHbe_A1_100147","60-69","female"
"be_A1_100148","HHbe_A1_100148","60-69","female"
"be_A1_100149","HHbe_A1_100149","60-69","male"
"be_A1_100150","HHbe_A1_100150","1-4","male"
"be_A1_100151","HHbe_A1_100151","40-49","female"
"be_A1_100152","HHbe_A1_100152","12-15","male"
"be_A1_100153","HHbe_A1_100153","5-11","female"
"be_A1_100154","HHbe_A1_100154","0-0","female"
"be_A1_100155","HHbe_A1_100155","18-29","male"
"be_A1_100156","HHbe_A1_100156","1-4","female"
"be_A1_100157","HHbe_A1_100157","30-39","female"
"be_A1_100158","HHbe_A1_100158","40-49","male"
"be_A1_100159","HHbe_A1_100159","60-69","male"
"be_A1_100160","HHbe_A1_100160","50-59","female"
"be_A1_100161","HHbe_A1_100161","60-69","female"
"be_A1_100162","HHbe_A1_100162","40-49","female"
"be_A1_100163","HHbe_A1_100163","50-59","female"
"be_A1_100165","HHbe_A1_100165","5-11","female"
"be_A1_100166","HHbe_A1_100166","40-49","female"
"be_A1_100167","HHbe_A1_100167","12-15","male"
"be_A1_100168","HHbe_A1_100168","60-69","male"
"be_A1_100169","HHbe_A1_100169","0-0","male"
"be_A1_100170","HHbe_A1_100170","70-120","male"
"be_A1_100171","HHbe_A1_100171","70-120","male"
"be_A1_100172","HHbe_A1_100172","60-69","male"
"be_A1_100173","HHbe_A1_100173","50-59","male"
"be_A1_100174","HHbe_A1_100174","50-59","male"
"be_A1_100175","HHbe_A1_100175","12-15","female"
"be_A1_100176","HHbe_A1_100176","12-15","male"
"be_A1_100177","HHbe_A1_100177","5-11","male"
"be_A1_100178","HHbe_A1_100178","60-69","male"
"be_A1_100179","HHbe_A1_100179","50-59","female"
"be_A1_100180","HHbe_A1_100180","5-11","male"
"be_A1_100181","HHbe_A1_100181","60-69","male"
"be_A1_100182","HHbe_A1_100182","40-49","male"
"be_A1_100183","HHbe_A1_100183","50-59","male"
"be_A1_100184","HHbe_A1_100184","12-15","male"
"be_A1_100185","HHbe_A1_100185","16-17","male"
"be_A1_100186","HHbe_A1_100186","50-59","female"
"be_A1_100187","HHbe_A1_100187","60-69","female"
"be_A1_100188","HHbe_A1_100188","30-39","female"
"be_A1_100189","HHbe_A1_100189","1-4","male"
"be_A1_100190","HHbe_A1_100190","50-59","male"
"be_A1_100191","HHbe_A1_100191","5-11","male"
"be_A1_100192","HHbe_A1_100192","0-0","male"
"be_A1_100193","HHbe_A1_100193","1-4","male"
"be_A1_100194","HHbe_A1_100194","60-69","male"
"be_A1_100195","HHbe_A1_100195","5-11","female"
"be_A1_100196","HHbe_A1_100196","50-59","female"
"be_A1_100197","HHbe_A1_100197","12-15","female"
"be_A1_100198","HHbe_A1_100198","40-49","male"
"be_A1_100199","HHbe_A1_100199","60-69","male"
"be_A1_100200","HHbe_A1_100200","50-59","male"
"be_A1_100201","HHbe_A1_100201","40-49","female"
"be_A1_100202","HHbe_A1_100202","16-17","female"
"be_A1_100203","HHbe_A1_100203","30-39","female"
"be_A1_100204","HHbe_A1_100204","5-11","male"
"be_A1_100205","HHbe_A1_100205","40-49","male"
"be_A1_100206","HHbe_A1_100206","50-59","female"
"be_A1_100207","HHbe_A1_100207","60-69","male"
