part_id,round,survey_date,survey_day,dayofweek,year
1025800,0,2016-02-22,Monday,1,2016
1025900,0,2016-03-16,Wednesday,3,2016
1026000,0,2016-02-21,Sunday,7,2016
1026200,0,2016-03-20,Sunday,7,2016
1026300,0,2016-03-08,Monday,1,2016
1026500,0,2016-03-19,Saturday,6,2016
1026600,0,2016-03-19,Saturday,6,2016
1026700,0,2016-03-20,Sunday,7,2016
1026800,0,2016-03-20,Sunday,7,2016
1026900,0,2016-03-09,Wednesday,3,2016
1027600,0,2016-03-14,Monday,1,2016
1027700,0,2016-03-07,Monday,1,2016
1027900,0,2016-03-20,Sunday,7,2016
1028000,0,2017-06-28,Wednesday,3,2017
1028200,0,2016-03-22,Tuesday,2,2016
1028400,0,2016-03-19,Saturday,6,2016
1028500,0,2016-03-16,Wednesday,3,2016
1028800,0,2016-03-20,Sunday,7,2016
1029200,0,2016-03-18,Friday,5,2016
1029400,0,2016-03-11,Friday,5,2016
1029600,0,2016-03-09,Wednesday,3,2016
1029800,0,2016-03-20,Sunday,7,2016
1030200,0,2016-03-05,Saturday,6,2016
1030300,0,2016-03-05,Saturday,6,2016
1030600,0,2016-03-05,Saturday,6,2016
1030800,0,2016-03-21,Wednesday,3,2016
1031100,0,2016-03-20,Sunday,7,2016
1031500,0,2016-03-19,Saturday,6,2016
1031900,0,NA,Tuesday,2,NA
1032100,0,2016-03-18,Friday,5,2016
1032300,0,2016-03-20,Sunday,7,2016
1032400,0,2016-03-15,Tuesday,2,2016
1032600,0,2016-03-14,Monday,1,2016
1032700,0,2016-03-17,Thursday,4,2016
1032800,0,2016-03-10,Thursday,4,2016
1033200,0,2016-03-23,Wednesday,3,2016
1033300,0,2016-03-02,Tuesday,2,2016
1033400,0,2016-03-01,Tuesday,2,2016
1033500,0,2016-03-02,Tuesday,2,2016
1033700,0,2016-02-29,Tuesday,2,2016
1033800,0,2016-03-14,Monday,1,2016
1033900,0,2016-03-19,Monday,1,2016
1034200,0,2016-03-11,Friday,5,2016
1034400,0,2016-03-07,Friday,5,2016
1034500,0,2016-06-22,Wednesday,3,2016
1034800,0,2016-03-08,Wednesday,3,2016
1034900,0,2016-03-30,Wednesday,3,2016
1035000,0,2016-03-30,Wednesday,3,2016
1035300,0,2016-03-11,Friday,5,2016
1035400,0,2016-03-30,Wednesday,3,2016
1035500,0,2016-03-28,Monday,1,2016
1035700,0,2016-03-30,Wednesday,3,2016
1035800,0,2016-03-30,Wednesday,3,2016
1035900,0,2016-03-30,Wednesday,3,2016
1036000,0,2016-03-29,Tuesday,2,2016
1036100,0,2016-03-22,Monday,1,2016
1036400,0,2016-03-26,Saturday,6,2016
1036500,0,2016-04-09,Saturday,6,2016
1036700,0,2016-03-26,Saturday,6,2016
1036800,0,2016-03-27,Sunday,7,2016
1036900,0,NA,Sunday,7,NA
1037200,0,2016-04-04,Monday,1,2016
1037300,0,2016-03-29,Wednesday,3,2016
1037500,0,2016-04-10,Sunday,7,2016
1037600,0,2016-03-30,Tuesday,2,2016
1037900,0,2016-03-25,Friday,5,2016
1038100,0,2016-04-10,Sunday,7,2016
1038200,0,2016-04-09,Saturday,6,2016
1038300,0,2016-04-09,Saturday,6,2016
1038800,0,2016-04-08,Friday,5,2016
1039000,0,2016-04-09,Sunday,7,2016
1039100,0,2016-04-06,Wednesday,3,2016
1039400,0,2016-04-09,Saturday,6,2016
1039600,0,2016-04-07,Thursday,4,2016
1040100,0,2016-04-03,Sunday,7,2016
1040700,0,2016-04-04,Tuesday,2,2016
1040800,0,2016-03-26,Saturday,6,2016
1040900,0,2016-04-06,Wednesday,3,2016
1041100,0,NA,Tuesday,2,NA
1041200,0,2016-03-29,Tuesday,2,2016
1041300,0,2016-04-09,Saturday,6,2016
1041500,0,2016-04-10,Sunday,7,2016
1041600,0,2016-04-10,Sunday,7,2016
1041700,0,2016-04-05,Sunday,7,2016
1041800,0,2016-04-10,Sunday,7,2016
1042000,0,NA,Tuesday,2,NA
1042300,0,2016-04-11,Tuesday,2,2016
1042800,0,2016-04-12,Tuesday,2,2016
1043300,0,2016-03-27,Monday,1,2016
1043400,0,2016-04-05,Tuesday,2,2016
1043800,0,2016-04-11,Monday,1,2016
1044400,0,2016-04-11,Monday,1,2016
1044600,0,2016-04-12,Monday,1,2016
1044700,0,2016-04-12,Tuesday,2,2016
1044900,0,2016-03-29,Monday,1,2016
1045300,0,2016-04-17,Sunday,7,2016
1045400,0,2016-04-16,Saturday,6,2016
1045800,0,2016-04-05,Tuesday,2,2016
1045900,0,2016-03-30,Wednesday,3,2016
1046000,0,2016-04-17,Sunday,7,2016
1046300,0,2016-04-17,Sunday,7,2016
1046400,0,2016-04-17,Sunday,7,2016
1046500,0,2016-04-17,Sunday,7,2016
1047000,0,2016-04-12,Tuesday,2,2016
1047100,0,2016-04-14,Thursday,4,2016
1047200,0,2016-04-06,Tuesday,2,2016
1047700,0,2016-04-09,Saturday,6,2016
1047900,0,2016-04-05,Tuesday,2,2016
1048000,0,2016-04-17,Sunday,7,2016
1048100,0,2016-04-19,Thursday,4,2016
1048300,0,NA,Monday,1,NA
1048500,0,NA,NA,NA,NA
1048900,0,2016-04-19,Tuesday,2,2016
1049100,0,2016-04-13,Wednesday,3,2016
1049300,0,2016-04-19,Tuesday,2,2016
1049400,0,2016-04-16,Saturday,6,2016
1049600,0,2016-04-19,Tuesday,2,2016
1049700,0,2016-04-18,Monday,1,2016
1049800,0,2016-03-28,Monday,1,2016
1050100,0,2016-04-12,Tuesday,2,2016
1050300,0,2016-04-09,Saturday,6,2016
1050400,0,2016-04-12,Tuesday,2,2016
1050500,0,2016-04-19,Tuesday,2,2016
1050600,0,2016-03-30,Wednesday,3,2016
1050700,0,2016-04-19,Tuesday,2,2016
1050800,0,2016-04-17,Sunday,7,2016
1050900,0,2016-04-17,Sunday,7,2016
1051400,0,2016-05-08,Sunday,7,2016
1051500,0,2016-05-14,Wednesday,3,2016
1051900,0,2016-04-29,Thursday,4,2016
1052000,0,2016-04-27,Wednesday,3,2016
1052100,0,2016-04-22,Friday,5,2016
1052400,0,2016-05-07,Saturday,6,2016
1052500,0,2016-05-08,Sunday,7,2016
1052700,0,2016-05-08,Sunday,7,2016
1052900,0,2016-04-29,Friday,5,2016
1053000,0,2016-05-04,Wednesday,3,2016
1053200,0,2016-05-10,Tuesday,2,2016
1053400,0,2016-05-02,Monday,1,2016
1053500,0,2016-04-23,Saturday,6,2016
1053800,0,2016-05-08,Sunday,7,2016
1053900,0,2016-05-09,Monday,1,2016
1054100,0,2016-05-10,Tuesday,2,2016
1054200,0,2016-04-23,Saturday,6,2016
1054300,0,2016-05-04,Wednesday,3,2016
1054700,0,2016-05-03,Tuesday,2,2016
1054800,0,2016-05-10,Tuesday,2,2016
1054900,0,2016-05-07,Saturday,6,2016
1055100,0,2016-05-03,Tuesday,2,2016
1055200,0,2016-05-10,Tuesday,2,2016
1055400,0,2016-05-10,Tuesday,2,2016
1055600,0,2016-05-01,Sunday,7,2016
1055700,0,2016-05-06,Friday,5,2016
1055800,0,2016-05-14,Saturday,6,2016
1056500,0,2016-05-14,Saturday,6,2016
1056600,0,2016-05-16,Monday,1,2016
1056700,0,2016-05-09,Monday,1,2016
1057400,0,NA,Saturday,6,NA
1057500,0,2016-05-12,Thursday,4,2016
1057600,0,2016-05-16,Tuesday,2,2016
1057700,0,2016-05-02,Monday,1,2016
1057800,0,2016-05-08,Sunday,7,2016
1058400,0,2016-05-14,Saturday,6,2016
1058500,0,2016-05-15,Sunday,7,2016
1058800,0,2016-05-11,Wednesday,3,2016
1059200,0,2016-05-14,Saturday,6,2016
1059400,0,2016-05-16,Monday,1,2016
1059700,0,2016-05-16,Monday,1,2016
1059900,0,2016-05-15,Sunday,7,2016
1060100,0,2016-05-15,Sunday,7,2016
1060700,0,2016-05-14,Saturday,6,2016
1061300,0,2016-05-14,Saturday,6,2016
1061500,0,2016-05-17,Tuesday,2,2016
1061800,0,2016-05-16,Monday,1,2016
1061900,0,2016-05-16,Monday,1,2016
1062000,0,2016-05-17,Tuesday,2,2016
1062100,0,2016-05-12,Tuesday,2,2016
1062200,0,2016-05-17,Monday,1,2016
1063300,0,2016-05-18,Wednesday,3,2016
1063500,0,2016-05-15,Sunday,7,2016
1063800,0,2016-05-17,Tuesday,2,2016
1064100,0,2016-05-14,Saturday,6,2016
1064300,0,2016-05-22,Sunday,7,2016
1064500,0,2016-05-22,Sunday,7,2016
1064600,0,2016-05-02,Saturday,6,2016
1065000,0,2016-05-14,Saturday,6,2016
1065400,0,2016-05-15,Sunday,7,2016
1065600,0,NA,Monday,1,NA
1065700,0,2016-05-14,Saturday,6,2016
1065900,0,2016-05-17,Tuesday,2,2016
1066000,0,2016-05-07,Saturday,6,2016
1066100,0,2016-05-22,Sunday,7,2016
1066400,0,2016-05-21,Saturday,6,2016
1066500,0,2016-05-21,Saturday,6,2016
1066600,0,2016-05-14,Saturday,6,2016
1066800,0,2016-05-14,Saturday,6,2016
1067000,0,2016-05-17,Wednesday,3,2016
1067300,0,2016-05-08,Sunday,7,2016
1067500,0,2016-05-23,Monday,1,2016
1067600,0,2016-05-07,Saturday,6,2016
1067700,0,2016-05-24,Tuesday,2,2016
1068000,0,2016-05-15,Sunday,7,2016
1068100,0,2016-05-17,Tuesday,2,2016
1068400,0,2016-05-23,Monday,1,2016
1068500,0,2016-05-24,Tuesday,2,2016
1069000,0,2016-05-08,Sunday,7,2016
1069300,0,2016-05-11,Wednesday,3,2016
1069500,0,2016-05-24,Monday,1,2016
1069600,0,2016-05-21,Saturday,6,2016
1069700,0,2016-05-23,Monday,1,2016
1070300,0,2016-05-24,Tuesday,2,2016
1070400,0,2016-05-15,Saturday,6,2016
1070600,0,2016-05-27,Friday,5,2016
1070800,0,2016-04-30,Saturday,6,2016
1070900,0,2016-05-17,Tuesday,2,2016
1071000,0,2016-05-22,Sunday,7,2016
1071100,0,2016-05-07,Saturday,6,2016
1071200,0,2016-05-21,Saturday,6,2016
1071400,0,2016-05-19,Thursday,4,2016
1071700,0,2016-05-06,Tuesday,2,2016
1071800,0,2016-05-12,Friday,5,2016
1072000,0,2016-05-21,Saturday,6,2016
1072500,0,2016-05-24,Tuesday,2,2016
1072700,0,2016-05-25,Wednesday,3,2016
1072800,0,2016-05-25,Wednesday,3,2016
1073000,0,2016-05-25,Wednesday,3,2016
1073100,0,2016-05-13,Friday,5,2016
1073200,0,NA,Tuesday,2,NA
