part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
1018,1018_2_2_10,2,NA,NA,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,2
1018,1018_2_2_11,2,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
1018,1018_2_2_12,1,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3
1018,1018_2_2_13,4,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,4
1018,1018_2_2_14,40,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,2
1018,1018_2_2_15,36,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2
10431,10431_2_1_1,20,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,5
10431,10431_2_2_1,52,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,5
10431,10431_2_2_2,31,NA,NA,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,5
10431,10431_2_2_3,41,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,5
10431,10431_2_2_4,57,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,1,5
10431,10431_2_2_5,46,NA,NA,F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,2,5
