"hh_id","country","hh_size"
"HH1030408","CN",3
"HH1030409","CN",0
"HH1030410","CN",1
"HH1030411","CN",2
"HH1030412","CN",1
"HH1030413","CN",2
"HH1030414","CN",1
"HH1030415","CN",5
"HH1030416","CN",2
"HH1030417","CN",3
"HH1030418","CN",3
"HH1030419","CN",1
"HH1030420","CN",6
"HH1030421","CN",1
"HH1030422","CN",4
"HH1030424","CN",5
"HH1030425","CN",1
"HH2010101","CN",2
"HH2010102","CN",4
"HH2010103","CN",2
"HH2010104","CN",3
"HH2010105","CN",2
"HH2010106","CN",1
"HH2010107","CN",1
"HH2010108","CN",1
"HH2010109","CN",2
"HH2010110","CN",2
"HH2010111","CN",5
"HH2010112","CN",4
"HH2010113","CN",1
"HH2010114","CN",1
"HH2010115","CN",3
"HH2010116","CN",2
"HH2010117","CN",4
"HH2010118","CN",1
"HH2010119","CN",3
"HH2010120","CN",2
"HH2010121","CN",1
"HH2010122","CN",2
"HH2010123","CN",2
"HH2010124","CN",2
"HH2010125","CN",2
"HH2010201","CN",3
"HH2010202","CN",3
"HH2010203","CN",2
"HH2010204","CN",2
"HH2010205","CN",2
"HH2010206","CN",2
"HH2010207","CN",2
"HH2010208","CN",2
"HH2010209","CN",2
"HH2010210","CN",2
"HH2010211","CN",1
"HH2010212","CN",1
"HH2010213","CN",1
"HH2010214","CN",4
"HH2010215","CN",1
"HH2010216","CN",4
"HH2010217","CN",2
"HH2010218","CN",3
"HH2010219","CN",3
"HH2010220","CN",3
"HH2010222","CN",4
"HH2010223","CN",3
"HH2010224","CN",6
"HH2010225","CN",2
"HH2010301","CN",3
"HH2010302","CN",2
"HH2010303","CN",3
"HH2010304","CN",2
"HH2010305","CN",2
"HH2010306","CN",0
"HH2010307","CN",2
"HH2010308","CN",2
"HH2010309","CN",3
"HH2010310","CN",2
"HH2010311","CN",2
"HH2010312","CN",1
"HH2010313","CN",2
"HH2010314","CN",2
"HH2010315","CN",4
"HH2010316","CN",0
"HH2010317","CN",1
"HH2010318","CN",2
"HH2010319","CN",2
"HH2010320","CN",5
"HH2010321","CN",4
"HH2010322","CN",3
"HH2010323","CN",1
"HH2010324","CN",1
"HH2010401","CN",2
"HH2010402","CN",4
"HH2010403","CN",2
"HH2010404","CN",4
"HH2010405","CN",4
"HH2010406","CN",4
"HH2010407","CN",1
"HH2010408","CN",2
"HH2010409","CN",2
"HH2010410","CN",2
"HH2010411","CN",1
"HH2010412","CN",1
"HH2010413","CN",2
"HH2010414","CN",2
"HH2010415","CN",1
"HH2010416","CN",1
"HH2010417","CN",1
"HH2010418","CN",2
"HH2010419","CN",2
"HH2010420","CN",2
"HH2010421","CN",1
"HH2010422","CN",2
"HH2010423","CN",2
"HH2010425","CN",1
"HH2020101","CN",3
"HH2020102","CN",5
"HH2020103","CN",3
"HH2020104","CN",2
"HH2020105","CN",2
"HH2020106","CN",2
"HH2020107","CN",1
"HH2020108","CN",1
"HH2020109","CN",1
"HH2020110","CN",2
"HH2020111","CN",3
"HH2020112","CN",2
"HH2020113","CN",2
"HH2020114","CN",1
"HH2020115","CN",1
"HH2020116","CN",4
"HH2020117","CN",3
"HH2020118","CN",2
"HH2020119","CN",3
"HH2020120","CN",2
"HH2020121","CN",2
"HH2020122","CN",1
"HH2020123","CN",3
"HH2020124","CN",2
"HH2020125","CN",2
"HH2020202","CN",2
"HH2020203","CN",3
"HH2020204","CN",1
"HH2020205","CN",4
"HH2020206","CN",1
"HH2020207","CN",4
"HH2020208","CN",4
"HH2020209","CN",1
"HH2020210","CN",1
"HH2020211","CN",4
"HH2020212","CN",2
"HH2020213","CN",3
"HH2020214","CN",3
"HH2020215","CN",2
"HH2020216","CN",4
"HH2020217","CN",2
"HH2020218","CN",2
"HH2020219","CN",2
"HH2020220","CN",2
"HH2020221","CN",2
"HH2020222","CN",1
"HH2020223","CN",3
"HH2020224","CN",2
"HH2020225","CN",2
"HH2020301","CN",1
"HH2020302","CN",2
"HH2020303","CN",4
"HH2020304","CN",4
"HH2020305","CN",5
"HH2020306","CN",4
"HH2020307","CN",2
"HH2020308","CN",2
"HH2020309","CN",2
"HH2020310","CN",2
"HH2020311","CN",1
"HH2020312","CN",2
"HH2020313","CN",3
"HH2020314","CN",1
"HH2020315","CN",2
"HH2020316","CN",1
"HH2020317","CN",4
"HH2020318","CN",4
"HH2020319","CN",3
"HH2020320","CN",2
"HH2020321","CN",1
"HH2020322","CN",4
"HH2020323","CN",2
