hh_id,country,hh_size
HH10161907,ch,NA
HH10161908,ch,NA
HH10161909,ch,NA
HH10162001,ch,2
HH10162003,ch,NA
HH10162004,ch,NA
HH10162005,ch,NA
HH10162007,ch,NA
HH10162008,ch,NA
HH10162009,ch,NA
HH10162101,ch,1
HH10162104,ch,NA
HH10162105,ch,NA
HH10162107,ch,NA
HH10162108,ch,NA
HH10162201,ch,2
HH10162203,ch,NA
HH10162205,ch,NA
HH10162301,ch,2
HH10162303,ch,NA
HH10162304,ch,NA
HH10162305,ch,NA
HH10162307,ch,NA
HH10162308,ch,NA
HH10162309,ch,NA
HH10162401,ch,2
HH10162403,ch,NA
HH10162404,ch,NA
HH10162405,ch,NA
HH10162407,ch,NA
HH10162408,ch,NA
HH10162409,ch,NA
HH10162501,ch,2
HH10162503,ch,NA
HH10162504,ch,NA
HH10162505,ch,NA
HH10162507,ch,NA
HH10162508,ch,NA
HH10162509,ch,NA
HH10162601,ch,1
HH10162605,ch,NA
HH10162607,ch,NA
HH10162701,ch,2
HH10162703,ch,NA
HH10162704,ch,NA
HH10162705,ch,NA
HH10162801,ch,5
HH10162901,ch,2
HH10162904,ch,NA
HH10163001,ch,2
HH10163003,ch,NA
HH10163101,ch,1
HH10163103,ch,NA
HH10163104,ch,NA
HH10163105,ch,NA
HH10163107,ch,NA
HH10163108,ch,NA
HH10163109,ch,NA
HH10163201,ch,2
HH10163205,ch,NA
HH10163208,ch,NA
HH10163301,ch,2
HH10163303,ch,NA
HH10163304,ch,NA
HH10163305,ch,NA
HH10163307,ch,NA
HH10163308,ch,NA
HH10163401,ch,5
HH10163501,ch,1
HH10163505,ch,NA
HH10163601,ch,1
HH10163605,ch,NA
HH10163607,ch,NA
HH10163608,ch,NA
HH10163701,ch,1
HH10163704,ch,NA
HH10163705,ch,NA
HH10163707,ch,NA
HH10163708,ch,NA
HH10163709,ch,NA
HH10163801,ch,1
HH10163804,ch,NA
HH10163805,ch,NA
HH10163901,ch,1
HH10163904,ch,NA
HH10163907,ch,NA
HH10163908,ch,NA
HH10164001,ch,1
HH10164003,ch,NA
HH10164004,ch,NA
HH10164005,ch,NA
HH10164007,ch,NA
HH10164008,ch,NA
HH10164009,ch,NA
HH10164101,ch,1
HH10164103,ch,NA
HH10164201,ch,1
HH10164203,ch,NA
HH10164208,ch,NA
HH10164301,ch,3
HH10164303,ch,NA
HH10164401,ch,3
HH10164403,ch,NA
HH10164404,ch,NA
HH10164405,ch,NA
HH10164407,ch,NA
HH10164408,ch,NA
HH10164501,ch,2
HH10164503,ch,NA
HH10164505,ch,NA
HH10164601,ch,2
HH10164603,ch,NA
HH10164701,ch,3
HH10164703,ch,NA
HH10164704,ch,NA
HH10164707,ch,NA
HH10164708,ch,NA
HH10164801,ch,3
HH10164805,ch,NA
HH10164809,ch,NA
HH10164901,ch,1
HH10165001,ch,2
HH10165003,ch,NA
HH10165004,ch,NA
HH10165007,ch,NA
HH10165101,ch,1
HH10165104,ch,NA
HH10165105,ch,NA
HH10165107,ch,NA
HH10165108,ch,NA
HH10165201,ch,5
HH10165203,ch,NA
HH10165204,ch,NA
HH10165205,ch,NA
HH10165207,ch,NA
HH10165208,ch,NA
HH10165209,ch,NA
HH10165301,ch,4
HH10165307,ch,NA
HH10165401,ch,2
HH10165405,ch,NA
HH10165407,ch,NA
HH10165408,ch,NA
HH10165501,ch,2
HH10165503,ch,NA
HH10165601,ch,4
HH10165603,ch,NA
HH10165701,ch,3
HH10165703,ch,NA
HH10165801,ch,1
HH10165901,ch,1
HH10166001,ch,5
HH10166101,ch,3
HH10166103,ch,NA
HH10166201,ch,1
HH10166203,ch,NA
HH10166301,ch,2
HH10166305,ch,NA
HH10166307,ch,NA
HH10166308,ch,NA
HH10166309,ch,NA
HH10166401,ch,3
HH10166403,ch,NA
HH10166501,ch,5
HH10166505,ch,NA
HH10166507,ch,NA
HH10166601,ch,1
HH10166603,ch,NA
HH10166701,ch,2
HH10166801,ch,2
HH10166803,ch,NA
HH10166901,ch,2
HH10166907,ch,NA
HH10166908,ch,NA
HH10166909,ch,NA
HH10167001,ch,2
HH10167101,ch,4
HH10167103,ch,NA
HH10167201,ch,1
HH10167203,ch,NA
HH10167301,ch,2
HH10167303,ch,NA
HH10167401,ch,2
HH10167403,ch,NA
HH10167501,ch,1
HH10167503,ch,NA
HH10167601,ch,1
HH10167603,ch,NA
HH10167701,ch,4
HH10167703,ch,NA
HH10167801,ch,2
HH10167803,ch,NA
HH10167901,ch,4
HH10167905,ch,NA
HH10168001,ch,1
HH10168003,ch,NA
HH10168101,ch,1
HH10168103,ch,NA
HH10168201,ch,1
HH10168301,ch,1
HH10168401,ch,2
HH10168403,ch,NA
HH10168501,ch,2
HH10168503,ch,NA
HH10168601,ch,3
HH10168701,ch,2
HH10168703,ch,NA
HH10168801,ch,2
HH10168803,ch,NA
HH10168901,ch,2
HH10168903,ch,NA
HH10169001,ch,2
HH10169003,ch,NA
HH10169101,ch,2
HH10169103,ch,NA
HH10169201,ch,1
HH10169205,ch,NA
HH10169207,ch,NA
HH10169208,ch,NA
HH10169209,ch,NA
HH10169301,ch,2
HH10169303,ch,NA
HH10169401,ch,3
HH10169403,ch,NA
HH10169501,ch,5
HH10169503,ch,NA
HH10169601,ch,2
HH10169603,ch,NA
HH10169701,ch,5
HH10169703,ch,NA
HH10169801,ch,1
HH10169808,ch,NA
HH10169901,ch,2
HH10169903,ch,NA
HH10170001,ch,1
HH10170003,ch,NA
HH10170101,ch,3
HH10170103,ch,NA
HH10170201,ch,2
HH10170203,ch,NA
HH10170301,ch,1
HH10170307,ch,NA
HH10170401,ch,1
HH10170403,ch,NA
HH10170501,ch,3
HH10170503,ch,NA
HH10170601,ch,2
HH10170605,ch,NA
HH10170607,ch,NA
HH10170608,ch,NA
HH10170609,ch,NA
HH10170701,ch,2
HH10170705,ch,NA
HH10170708,ch,NA
HH10170801,ch,2
HH10170803,ch,NA
HH10170901,ch,2
HH10170903,ch,NA
HH10171001,ch,2
HH10171101,ch,2
HH10171103,ch,NA
HH10171201,ch,2
HH10171207,ch,NA
HH10171208,ch,NA
HH10171301,ch,2
HH10171305,ch,NA
HH10171307,ch,NA
HH10171401,ch,1
HH10171501,ch,3
HH10171601,ch,3
HH10171701,ch,2
HH10171703,ch,NA
HH10171801,ch,4
HH10171803,ch,NA
HH10171901,ch,2
HH10172001,ch,2
HH10172005,ch,NA
HH10172007,ch,NA
HH10172008,ch,NA
HH10172009,ch,NA
HH10172101,ch,1
HH10172105,ch,NA
HH10172107,ch,NA
HH10172108,ch,NA
HH10172201,ch,2
HH10172205,ch,NA
HH10172207,ch,NA
HH10172208,ch,NA
HH10172301,ch,3
HH10172303,ch,NA
HH10172401,ch,2
HH10172403,ch,NA
HH10172501,ch,3
HH10172503,ch,NA
HH10172601,ch,3
HH10172603,ch,NA
HH10172701,ch,4
HH10172703,ch,NA
HH10172801,ch,4
HH10172803,ch,NA
HH10172901,ch,1
HH10172903,ch,NA
HH10173001,ch,2
HH10173008,ch,NA
HH10173101,ch,2
HH10173103,ch,NA
HH10173201,ch,5
HH10173205,ch,NA
HH10173207,ch,NA
HH10173208,ch,NA
HH10173301,ch,5
HH10173303,ch,NA
HH10173401,ch,4
HH10173501,ch,2
HH10173505,ch,NA
HH10173508,ch,NA
HH10173601,ch,1
HH10173603,ch,NA
HH10173701,ch,1
HH10173703,ch,NA
HH10173801,ch,2
HH10173805,ch,NA
HH10173807,ch,NA
HH10173808,ch,NA
