cont_id,wave,studyDay
10428_2_1_5,2,1
10428_2_1_6,2,1
10428_2_2_1,2,2
10428_2_2_2,2,2
10428_2_2_3,2,2
10428_2_2_4,2,2
10428_2_2_5,2,2
10428_2_2_6,2,2
10428_2_2_7,2,2
10428_2_2_8,2,2
8409_2_1_1,2,1
8409_2_1_2,2,1
8409_2_1_3,2,1
8409_2_1_4,2,1
8409_2_1_5,2,1
8409_2_1_6,2,1
8409_2_1_7,2,1
8409_2_1_8,2,1
8409_2_1_9,2,1
8409_2_1_10,2,1
8409_2_1_11,2,1
8409_2_1_12,2,1
8409_2_2_1,2,2
8409_2_2_2,2,2
8409_2_2_3,2,2
8409_2_2_4,2,2
8409_2_2_5,2,2
12136_2_1_1,2,1
12136_2_1_2,2,1
12136_2_1_3,2,1
12136_2_1_4,2,1
12136_2_1_5,2,1
12136_2_1_6,2,1
12136_2_1_7,2,1
12136_2_1_8,2,1
12136_2_1_9,2,1
12136_2_1_10,2,1
12136_2_1_11,2,1
12136_2_1_12,2,1
12136_2_1_13,2,1
12136_2_1_14,2,1
12136_2_2_1,2,2
12136_2_2_2,2,2
12136_2_2_3,2,2
12136_2_2_4,2,2
12136_2_2_5,2,2
6063_2_1_1,2,1
6063_2_1_2,2,1
6063_2_1_3,2,1
6063_2_2_1,2,2
6063_2_2_2,2,2
2047_2_1_1,2,1
2047_2_1_2,2,1
2047_2_1_3,2,1
2047_2_1_4,2,1
2047_2_1_5,2,1
2047_2_1_6,2,1
2047_2_1_7,2,1
2047_2_1_8,2,1
2047_2_1_9,2,1
2047_2_2_1,2,2
2047_2_2_2,2,2
2047_2_2_3,2,2
2047_2_2_4,2,2
2047_2_2_5,2,2
2047_2_2_6,2,2
2047_2_2_7,2,2
2047_2_2_8,2,2
7360_2_1_1,2,1
7360_2_1_2,2,1
7360_2_1_3,2,1
7360_2_1_4,2,1
7360_2_1_5,2,1
7360_2_1_6,2,1
7360_2_1_7,2,1
7360_2_1_8,2,1
7360_2_1_9,2,1
7360_2_1_10,2,1
7360_2_1_11,2,1
7360_2_1_12,2,1
7360_2_1_13,2,1
7360_2_1_14,2,1
7360_2_1_15,2,1
7360_2_1_16,2,1
7360_2_1_17,2,1
7360_2_1_18,2,1
7360_2_1_19,2,1
7360_2_1_20,2,1
7360_2_1_21,2,1
7360_2_1_22,2,1
7360_2_1_23,2,1
7360_2_1_24,2,1
7360_2_1_25,2,1
7360_2_1_26,2,1
7360_2_1_27,2,1
7360_2_1_28,2,1
7360_2_1_29,2,1
7360_2_1_30,2,1
