"hh_id","hh_size_group"
"HH2440","(3,4]"
"HH2441","(2,3]"
"HH2442","(1,2]"
"HH2443","(2,3]"
"HH2444","(1,2]"
"HH2445","(3,4]"
"HH2446","(1,2]"
"HH2447","(1,2]"
"HH2448","(2,3]"
"HH2449","(1,2]"
"HH2450","(2,3]"
"HH2451","(2,3]"
"HH2452","(2,3]"
"HH2453","(4,20]"
"HH2454","(2,3]"
"HH2455","(1,2]"
"HH2456","(4,20]"
"HH2457","(4,20]"
"HH2458","(3,4]"
"HH2459","(2,3]"
"HH2460","(1,2]"
"HH2461","(2,3]"
"HH2462","(2,3]"
"HH2463","(2,3]"
"HH2464","(4,20]"
"HH2465","(4,20]"
"HH2466","(2,3]"
"HH2467","(2,3]"
"HH2469","(2,3]"
"HH2470","(2,3]"
"HH2471","(4,20]"
"HH2472","(2,3]"
"HH2473","(2,3]"
"HH2474","(4,20]"
"HH2475","(1,2]"
"HH2476","(1,2]"
"HH2477","(2,3]"
"HH2478","(4,20]"
"HH2479","(2,3]"
"HH2480","(3,4]"
"HH2481","(2,3]"
"HH2482","(1,2]"
"HH2483","(1,2]"
"HH2484","(1,2]"
"HH2485","(1,2]"
"HH2486","(2,3]"
"HH2487","(1,2]"
"HH2488","(3,4]"
"HH2489","(3,4]"
"HH2490","(1,2]"
"HH2491","(1,2]"
"HH2492","(0,1]"
"HH2493","(1,2]"
"HH2494","(1,2]"
"HH2495","(2,3]"
"HH2496","(1,2]"
"HH2497","(2,3]"
"HH2498","(0,1]"
"HH2499","(1,2]"
"HH2500","(1,2]"
"HH2501","(2,3]"
"HH2502","(2,3]"
"HH2503","(3,4]"
"HH2504","(2,3]"
"HH2505","(2,3]"
"HH2506","(3,4]"
"HH2507","(2,3]"
"HH2508","(3,4]"
"HH2509","(2,3]"
"HH2510","(2,3]"
"HH2511","(2,3]"
"HH2512","(2,3]"
"HH2513","(2,3]"
"HH2514","(2,3]"
"HH2515","(2,3]"
"HH2516","(1,2]"
"HH2517","(2,3]"
"HH2518","(2,3]"
"HH2519","(1,2]"
"HH2520","(3,4]"
"HH2521","(1,2]"
"HH2522","(2,3]"
"HH2523","(2,3]"
"HH2524","(2,3]"
"HH2525","(1,2]"
"HH2526","(2,3]"
"HH2527","(2,3]"
"HH2528","(2,3]"
"HH2529","(2,3]"
"HH2530","(2,3]"
"HH2531","(4,20]"
"HH2532","(2,3]"
"HH2533","(1,2]"
"HH2534","(1,2]"
"HH2535","(2,3]"
"HH2536","(3,4]"
"HH2537","(2,3]"
"HH2538","(2,3]"
"HH2539","(3,4]"
"HH2540","(1,2]"
"HH2541","(2,3]"
"HH2542","(3,4]"
"HH2543","(2,3]"
"HH2544","(3,4]"
"HH2545","(2,3]"
"HH2546","(2,3]"
"HH2547","(2,3]"
"HH2548","(2,3]"
"HH2549","(2,3]"
"HH2550","(2,3]"
"HH2551","(2,3]"
"HH2552","(2,3]"
"HH2553","(2,3]"
"HH2554","(2,3]"
"HH2555","(2,3]"
"HH2556","(1,2]"
"HH2557","(1,2]"
"HH2558","(2,3]"
"HH2559","(3,4]"
"HH2560","(2,3]"
"HH2561","(1,2]"
"HH2562","(2,3]"
"HH2563","(2,3]"
