"hh_id","hh_size_group"
"HH1246","(2,3]"
"HH1247","(1,2]"
"HH1248","(1,2]"
"HH1249","(2,3]"
"HH1250","(2,3]"
"HH1251","(3,4]"
"HH1252","(2,3]"
"HH1253","(2,3]"
"HH1254","(2,3]"
"HH1255","(2,3]"
"HH1256","(2,3]"
"HH1257","(2,3]"
"HH1258","(2,3]"
"HH1259","(0,1]"
"HH1260","(1,2]"
"HH1261","(1,2]"
"HH1262","(2,3]"
"HH1263","(0,1]"
"HH1265","(3,4]"
"HH1266","(2,3]"
"HH1267","(2,3]"
"HH1268","(2,3]"
"HH1269","(2,3]"
"HH1270","(1,2]"
"HH1271","(3,4]"
"HH1272","(2,3]"
"HH1273","(3,4]"
"HH1274","(4,20]"
"HH1275","(2,3]"
"HH1276","(4,20]"
"HH1277","(4,20]"
"HH1278","(1,2]"
"HH1279","(0,1]"
"HH1280","(2,3]"
"HH1281","(1,2]"
"HH1282","(1,2]"
"HH1283","(1,2]"
"HH1284","(2,3]"
"HH1285","(3,4]"
"HH1286","(4,20]"
"HH1287","(3,4]"
"HH1288","(0,1]"
"HH1289","(2,3]"
"HH1290","(2,3]"
"HH1291","(1,2]"
"HH1292","(3,4]"
"HH1293","(2,3]"
"HH1294","(4,20]"
"HH1295","(2,3]"
"HH1296","(2,3]"
"HH1297","(2,3]"
"HH1298","(2,3]"
"HH1299","(2,3]"
"HH1300","(2,3]"
"HH1301","(2,3]"
"HH1302","(2,3]"
"HH1303","(4,20]"
"HH1304","(2,3]"
"HH1305","(0,1]"
"HH1306","(4,20]"
"HH1307","(2,3]"
"HH1308","(2,3]"
"HH1309","(3,4]"
"HH1310","(3,4]"
"HH1311","(2,3]"
"HH1312","(1,2]"
"HH1313","(2,3]"
"HH1314","(2,3]"
"HH1315","(3,4]"
"HH1316","(4,20]"
"HH1317","(2,3]"
"HH1318","(2,3]"
"HH1319","(2,3]"
"HH1320","(1,2]"
"HH1321","(1,2]"
"HH1322","(2,3]"
"HH1323","(2,3]"
"HH1324","(2,3]"
"HH1325","(2,3]"
"HH1326","(2,3]"
"HH1327","(4,20]"
"HH1328","(2,3]"
"HH1329","(2,3]"
"HH1330","(3,4]"
"HH1331","(4,20]"
"HH1332","(2,3]"
"HH1333","(3,4]"
"HH1334","(3,4]"
"HH1335","(2,3]"
"HH1336","(1,2]"
"HH1337","(2,3]"
"HH1338","(2,3]"
"HH1339","(1,2]"
"HH1340","(1,2]"
"HH1341","(2,3]"
"HH1342","(4,20]"
"HH1343","(3,4]"
"HH1344","(0,1]"
"HH1345","(2,3]"
"HH1346","(2,3]"
"HH1347","(2,3]"
"HH1348","(1,2]"
"HH1349","(3,4]"
"HH1350","(2,3]"
"HH1351","(2,3]"
"HH1352","(2,3]"
"HH1353","(2,3]"
"HH1354","(2,3]"
"HH1355","(2,3]"
"HH1356","(2,3]"
"HH1357","(3,4]"
"HH1358","(3,4]"
"HH1359","(1,2]"
"HH1360","(2,3]"
"HH1361","(3,4]"
"HH1362","(4,20]"
"HH1363","(1,2]"
"HH1364","(1,2]"
"HH1365","(4,20]"
"HH1366","(2,3]"
"HH1367","(4,20]"
"HH1368","(2,3]"
"HH1369","(2,3]"
"HH1370","(2,3]"
"HH1371","(3,4]"
"HH1372","(2,3]"
"HH1373","(2,3]"
"HH1374","(4,20]"
"HH1375","(1,2]"
"HH1376","(2,3]"
"HH1377","(2,3]"
"HH1378","(2,3]"
"HH1379","(2,3]"
"HH1380","(4,20]"
"HH1381","(4,20]"
"HH1382","(2,3]"
"HH1383","(2,3]"
"HH1384","(3,4]"
"HH1385","(3,4]"
"HH1386","(3,4]"
"HH1387","(4,20]"
"HH1388","(2,3]"
"HH1389","(2,3]"
"HH1390","(3,4]"
"HH1391","(1,2]"
"HH1392","(4,20]"
"HH1393","(2,3]"
"HH1394","(2,3]"
"HH1395","(1,2]"
"HH1396","(1,2]"
"HH1397","(2,3]"
"HH1398","(0,1]"
"HH1399","(4,20]"
"HH1400","(2,3]"
"HH1401","(2,3]"
"HH1402","(2,3]"
"HH1403","(2,3]"
"HH1404","(2,3]"
"HH1405","(2,3]"
"HH1406","(2,3]"
"HH1407","(3,4]"
"HH1408","(2,3]"
"HH1409","(1,2]"
"HH1410","(1,2]"
"HH1411","(2,3]"
"HH1412","(2,3]"
"HH1413","(0,1]"
"HH1414","(2,3]"
"HH1415","(1,2]"
"HH1416","(2,3]"
"HH1417","(4,20]"
"HH1418","(0,1]"
"HH1419","(2,3]"
"HH1420","(0,1]"
"HH1421","(3,4]"
"HH1422","(2,3]"
"HH1423","(0,1]"
"HH1424","(1,2]"
"HH1425","(3,4]"
"HH1426","(4,20]"
"HH1427","(2,3]"
"HH1428","(3,4]"
"HH1429","(4,20]"
"HH1430","(3,4]"
"HH1431","(3,4]"
"HH1432","(2,3]"
"HH1433","(3,4]"
"HH1434","(2,3]"
"HH1435","(2,3]"
"HH1436","(0,1]"
"HH1437","(3,4]"
"HH1438","(2,3]"
"HH1439","(2,3]"
"HH1440","(2,3]"
"HH1441","(2,3]"
