cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
uk_G1_700619079,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619080,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619081,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619082,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619083,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619084,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619085,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619086,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619087,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619088,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619089,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619090,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619091,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619092,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619093,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619094,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619095,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619096,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619097,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619098,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619099,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619100,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619101,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619102,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619103,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619104,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
