cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
uk_G1_700641018,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641019,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641020,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641021,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641022,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641023,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641024,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641025,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641026,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641027,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641028,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700641029,NA,NA,NA,NA,NA,NA,NA,0,0,NA
uk_G1_700642001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700642002,FALSE,TRUE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700642003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met,1,1,0
uk_G1_700643001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700643002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700643003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700643004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700643005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700643006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700644003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700644007,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
uk_G1_700644008,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
uk_G1_700644009,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
uk_G1_700644010,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
uk_G1_700645001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700645002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700646001,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days,1,1,0
uk_G1_700646002,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days,1,1,0
uk_G1_700646003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700646004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700646005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700646006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700647001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
uk_G1_700647002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
uk_G1_700647003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
