"hh_id","country","hh_size"
"HHat_A1_103276","at",4
"HHat_A1_103277","at",5
"HHat_A1_103278","at",3
"HHat_A1_103279","at",3
"HHat_A1_103280","at",2
"HHat_A1_103281","at",1
"HHat_A1_103282","at",1
"HHat_A1_103283","at",4
"HHat_A1_103284","at",2
"HHat_A1_103285","at",1
"HHat_A1_103286","at",3
"HHat_A1_103287","at",1
"HHat_A1_103288","at",1
"HHat_A1_103289","at",4
"HHat_A1_103290","at",3
"HHat_A1_103291","at",2
"HHat_A1_103292","at",2
"HHat_A1_103293","at",3
"HHat_A1_103294","at",1
"HHat_A1_103295","at",2
"HHat_A1_103296","at",4
"HHat_A1_103297","at",2
"HHat_A1_103298","at",2
"HHat_A1_103299","at",4
"HHat_A1_103300","at",1
"HHat_A1_103301","at",4
"HHat_A1_103302","at",1
"HHat_A1_103303","at",1
"HHat_A1_103304","at",4
"HHat_A1_103305","at",2
"HHat_A1_103306","at",2
"HHat_A1_103307","at",3
"HHat_A1_103308","at",1
"HHat_A1_103309","at",2
"HHat_A1_103310","at",3
"HHat_A1_103311","at",2
"HHat_A1_103312","at",2
"HHat_A1_103313","at",1
"HHat_A1_103314","at",5
"HHat_A1_103315","at",3
"HHat_A1_103316","at",2
"HHat_A1_103317","at",2
"HHat_A1_103318","at",1
"HHat_A1_103319","at",3
"HHat_A1_103320","at",2
"HHat_A1_103321","at",1
"HHat_A1_103322","at",2
"HHat_A1_103323","at",2
"HHat_A1_103324","at",2
"HHat_A1_103325","at",1
"HHat_A1_103326","at",2
"HHat_A1_103327","at",2
"HHat_A1_103328","at",2
"HHat_A1_103329","at",2
"HHat_A1_103330","at",2
"HHat_A1_103331","at",3
"HHat_A1_103332","at",4
"HHat_A1_103333","at",1
"HHat_A1_103334","at",1
"HHat_A1_103335","at",2
"HHat_A1_103336","at",2
"HHat_A1_103337","at",1
"HHat_A1_103338","at",2
"HHat_A1_103339","at",2
"HHat_A1_103340","at",1
"HHat_A1_103341","at",2
"HHat_A1_103342","at",3
"HHat_A1_103343","at",1
"HHat_A1_103344","at",1
"HHat_A1_103345","at",1
"HHat_A1_103346","at",4
"HHat_A1_103347","at",1
"HHat_A1_103348","at",2
"HHat_A1_103349","at",3
"HHat_A1_103350","at",2
"HHat_A1_103351","at",2
"HHat_A1_103352","at",1
"HHat_A1_103353","at",1
"HHat_A1_103354","at",2
"HHat_A1_103355","at",2
"HHat_A1_103356","at",2
"HHat_A1_103357","at",2
"HHat_A1_103358","at",2
"HHat_A1_103359","at",3
"HHat_A1_103360","at",1
"HHat_A1_103361","at",3
"HHat_A1_103362","at",1
"HHat_A1_103363","at",4
"HHat_A1_103364","at",4
"HHat_A1_103365","at",2
"HHat_A1_103366","at",1
"HHat_A1_103367","at",2
"HHat_A1_103368","at",3
"HHat_A1_103369","at",1
"HHat_A1_103370","at",2
"HHat_A1_103371","at",2
"HHat_A1_103372","at",3
"HHat_A1_103373","at",2
"HHat_A1_103374","at",2
"HHat_A1_103375","at",1
"HHat_A1_103376","at",3
"HHat_A1_103377","at",3
"HHat_A1_103378","at",4
"HHat_A1_103379","at",1
"HHat_A1_103380","at",3
"HHat_A1_103381","at",3
"HHat_A1_103382","at",1
"HHat_A1_103383","at",2
"HHat_A1_103384","at",3
"HHat_A1_103385","at",2
