key,strat,model,n_sample,mean_raw,mean,mean_l,mean_u,waic
CoMix_uk_internal,home,ZeroInfNegativeBinomial,88965,1.1497442814590006,1.1501740342487567,1.1424614308114713,1.1578100646744933,253568.2306880971
CoMix_uk_internal,home,ZeroInfPoissonLogNormal,88965,1.1497442814590006,1.1491467379307434,1.1420080182403984,1.1571749192024035,253268.74625014619
CoMix_uk_internal,home,ZeroInfPoissonLomax,88965,1.1497442814590006,1.1520820807240968,1.1391598072810298,1.1611612271641594,264224.07372729754
CoMix_uk_internal,non-home,ZeroInfNegativeBinomial,88965,2.932186815039622,2.9329883276336584,2.8796147311411073,2.985692881539647,280072.9231532776
CoMix_uk_internal,non-home,ZeroInfPoissonLogNormal,88965,2.932186815039622,1.9697997593083982,1.9178204165933332,2.0233438443173086,264873.97771468194
CoMix_uk_internal,non-home,ZeroInfPoissonLomax,88965,2.932186815039622,2.626622433461926,2.4721916907650523,2.8087016013708292,263836.1972381793
Danon_2013,home,ZeroInfNegativeBinomial,5200,2.0982692307692306,2.0984006967203936,2.043258419107095,2.152396721107966,19732.903595875265
Danon_2013,home,ZeroInfPoissonLogNormal,5200,2.0982692307692306,2.0937099896119005,2.0376575849001233,2.1471915878227184,19641.415424909625
Danon_2013,home,ZeroInfPoissonLomax,5200,2.0982692307692306,2.108171809694101,2.03284967088044,2.175357917250332,20280.301520600802
Danon_2013,non-home,ZeroInfNegativeBinomial,5200,24.391538461538463,24.38386464937547,23.486117060275497,25.330783363981123,42552.20729643621
Danon_2013,non-home,ZeroInfPoissonLogNormal,5200,24.391538461538463,22.78257372650993,21.761843442914454,24.069179682891722,41543.82743424723
Danon_2013,non-home,ZeroInfPoissonLomax,5200,24.391538461538463,24.384212138445864,22.61469627585847,26.341871732451388,41546.36794948614
Danon_2013_post,home,ZeroInfNegativeBinomial,3783,2.1667988369019295,2.166954472418916,2.106888429471144,2.22927956897073,14650.02118196824
Danon_2013_post,home,ZeroInfPoissonLogNormal,3783,2.1667988369019295,2.1601014592542427,2.09238394465704,2.2327974111944826,14587.921175153793
Danon_2013_post,home,ZeroInfPoissonLomax,3783,2.1667988369019295,2.1731389150551657,2.093090193856755,2.263748134871984,14957.009573401829
Danon_2013_post,non-home,ZeroInfNegativeBinomial,3783,24.10811525244515,24.057738316840958,23.128169354159336,25.135974332228436,30619.569911819344
Danon_2013_post,non-home,ZeroInfPoissonLogNormal,3783,24.10811525244515,22.712207226422645,21.244391292731642,24.447877723311958,29836.210641390335
Danon_2013_post,non-home,ZeroInfPoissonLomax,3783,24.10811525244515,25.87655461230366,23.31082925519693,28.86506567754274,29833.568267778657
Danon_2013_online,home,ZeroInfNegativeBinomial,1417,1.9153140437544107,1.9164984651839256,1.826723604051583,2.0029369560307764,5024.136772501531
Danon_2013_online,home,ZeroInfPoissonLogNormal,1417,1.9153140437544107,1.9109654620248093,1.8270476729732115,2.005099906280401,5010.196695679832
Danon_2013_online,home,ZeroInfPoissonLomax,1417,1.9153140437544107,1.908315227062537,1.8048115956414021,2.0615826890639872,5326.099810067052
Danon_2013_online,non-home,ZeroInfNegativeBinomial,1417,25.14820042342978,25.107109037944465,23.503406643730287,26.67618591237147,11903.235627867902
Danon_2013_online,non-home,ZeroInfPoissonLogNormal,1417,25.14820042342978,23.07151012451921,21.307325829990685,24.854231346661027,11610.124767504101
Danon_2013_online,non-home,ZeroInfPoissonLomax,1417,25.14820042342978,23.432696727636,21.579897561326124,25.5128531581396,11635.392135038044
Zhang_2019,home,ZeroInfNegativeBinomial,754,2.222811671087533,2.2258821311786954,2.0892075943700967,2.3509393171022017,2887.0705629755466
Zhang_2019,home,ZeroInfPoissonLogNormal,754,2.222811671087533,2.1843364427889873,2.0444822949069477,2.3331216272731043,2833.1914888537913
Zhang_2019,home,ZeroInfPoissonLomax,754,2.222811671087533,2.2424177952316002,2.032971096842996,2.4648294399791606,3019.486033472947
Zhang_2019,non-home,ZeroInfNegativeBinomial,754,11.850132625994695,11.756693628114341,10.609950532882626,13.162510630862561,5044.884014269474
Zhang_2019,non-home,ZeroInfPoissonLogNormal,754,11.850132625994695,12.565281410637615,11.027305678807252,14.715452356590246,5046.5956994730195
Zhang_2019,non-home,ZeroInfPoissonLomax,754,11.850132625994695,12.553193108005196,10.979167893589338,15.306935279292214,5052.860079855459
Leung_2017_online,home,ZeroInfNegativeBinomial,544,1.9025735294117647,1.8995009419521813,1.763571958250442,2.033975771721744,1899.8253517811138
Leung_2017_online,home,ZeroInfPoissonLogNormal,544,1.9025735294117647,1.897874863403967,1.7651781842086152,2.0409344217323286,1899.257167709063
Leung_2017_online,home,ZeroInfPoissonLomax,544,1.9025735294117647,1.9226933613967658,1.728847468777926,2.137330826885422,2046.1545049501156
Leung_2017_online,non-home,ZeroInfNegativeBinomial,544,3.204044117647059,3.206293105054845,2.883983329815387,3.5465843014502414,2503.6754563413724
Leung_2017_online,non-home,ZeroInfPoissonLogNormal,544,3.204044117647059,3.2692316921342535,2.912125146210395,3.690553387788675,2514.5508695975577
Leung_2017_online,non-home,ZeroInfPoissonLomax,544,3.204044117647059,3.2219399265916264,2.902500273498345,3.6536371978819013,2506.7739080812257
Leung_2017_paper,home,ZeroInfNegativeBinomial,343,2.0932944606413995,2.085709861149273,1.920130315087402,2.253507064373928,1257.963621844478
Leung_2017_paper,home,ZeroInfPoissonLogNormal,343,2.0932944606413995,2.0838819349893796,1.9155119475426245,2.2561902545609427,1257.4367345836356
