q,q_v,mean,lower,upper,key,strat
0.95,3.0,-0.07046190728280835,-0.08080318794610936,-0.061453613612907056,CoMix_uk_internal,home
0.97,4.0,-0.05394964884366408,-0.0747800313832995,-0.031390561570426405,CoMix_uk_internal,home
0.98,4.0,-0.054521515716508394,-0.07497436575677315,-0.03178482693950039,CoMix_uk_internal,home
0.95,6.0,-0.06374691179670715,-0.1726173310549764,0.05071518140864022,Danon_2013,home
0.97,7.0,-0.08607080515729251,-0.23342585104896219,0.04758811296470431,Danon_2013,home
0.98,8.0,-0.13866255841018607,-0.30813987738389664,0.07353762803434616,Danon_2013,home
0.95,6.0,-0.047651539650200074,-0.174800750179319,0.08943556478959672,Danon_2013_post,home
0.97,7.0,-0.08154489795221684,-0.22001590765774243,0.1188160675447889,Danon_2013_post,home
0.98,8.0,-0.1408429638843366,-0.3592984950180414,0.08354680800439708,Danon_2013_post,home
0.95,5.0,-0.23135399949664182,-0.4592988070349051,0.016088748192720617,Danon_2013_online,home
0.97,6.0,-0.2769985682813349,-0.5798621225371654,0.10390665592116818,Danon_2013_online,home
0.98,6.680000000000064,0.007463194696236398,-0.4430443147433543,0.5139000748379364,Danon_2013_online,home
0.95,5.0,0.40300636159225744,0.00139904655126033,0.9514225805127701,Zhang_2019,home
0.97,6.0,0.44073992539823986,-0.05998508756665705,1.1668918750683026,Zhang_2019,home
0.98,8.0,0.6792687105447122,-0.06667196650446539,1.4735207781509656,Zhang_2019,home
0.95,5.0,0.2024903623001671,-0.6170436343824328,1.0748853412813766,Leung_2017_online,home
0.97,5.0,0.17941742741429403,-0.3880615736818149,1.1179412215324054,Leung_2017_online,home
0.98,5.139999999999986,0.22291282990166342,-0.4678282321176247,1.0772105846426312,Leung_2017_online,home
0.95,5.0,-0.6695035668784356,-1.181593285590574,-0.06376110630105307,Leung_2017_paper,home
0.97,6.0,-1.4435482741801302,-1.7417233754541417,-0.8307571744156473,Leung_2017_paper,home
0.98,7.159999999999968,-1.7797480810630109,-2.464861814885945,-0.5320619346449057,Leung_2017_paper,home
0.95,4.0,-0.02799795354540464,-0.051467658784337955,-0.00015364162429644043,CoMix2,home
0.97,5.0,0.0022068583855521504,-0.03910352179605048,0.04961920597464944,CoMix2,home
0.98,5.0,0.0015209228667138368,-0.04711759327757981,0.046031111562105334,CoMix2,home
0.95,4.0,-0.19548920312095952,-0.2891833906312776,-0.09643499385578355,CoMix2_at,home
0.97,5.0,-0.2087738660235999,-0.3630488349127343,-0.05851021333499215,CoMix2_at,home
0.98,5.0,-0.20968844050352156,-0.3389761858522945,-0.06507966123949663,CoMix2_at,home
0.95,4.0,0.11852746816753318,-0.04855763640080339,0.3087544747058532,CoMix2_be,home
0.97,4.0,0.10940381193487299,-0.06200893151780263,0.295302729919361,CoMix2_be,home
0.98,5.0,0.16993206850429293,-0.1341044992730086,0.5131264338680892,CoMix2_be,home
0.95,4.0,0.09105341207417385,-0.011424701805246983,0.213520782744331,CoMix2_dk,home
0.97,5.0,0.19060497444946922,0.008060435602325,0.4256159366990684,CoMix2_dk,home
0.98,5.0,0.179646092072235,-0.0029240339930040327,0.3961807167322237,CoMix2_dk,home
0.95,4.0,-0.018042632166055134,-0.13933843417449746,0.09628956415199616,CoMix2_ee,home
0.97,4.0,-0.013534837506655946,-0.1326722852688168,0.10991105824539035,CoMix2_ee,home
0.98,5.0,0.04380865628002244,-0.1666976162441787,0.24420281182759732,CoMix2_ee,home
0.95,4.0,-0.09666112082718768,-0.205222487284965,0.03194184063741345,CoMix2_gr,home
0.97,4.0,-0.10340116452149488,-0.19999737258460654,0.01944123000762621,CoMix2_gr,home
0.98,5.0,-0.029875289921510992,-0.3309403011384998,0.21651112890089175,CoMix2_gr,home
0.95,5.0,-0.28261290484667306,-0.4120715358985847,-0.11436339330685237,CoMix2_hr,home
0.97,5.0,-0.28920322406081767,-0.4296243137655173,-0.12758829908342972,CoMix2_hr,home
0.98,6.0,-0.3806831807212234,-0.5827630801396029,-0.10269795473426493,CoMix2_hr,home
0.95,4.0,-0.22743807645113748,-0.3209682925581868,-0.11089811042494184,CoMix2_it,home
0.97,4.0,-0.23598422844062053,-0.33212026268417844,-0.11634711862192236,CoMix2_it,home
0.98,5.0,-0.20223313965946713,-0.37268832220038123,-0.012277600886897826,CoMix2_it,home
0.95,4.0,-0.02975868212492263,-0.10161216679082737,0.058150410467528224,CoMix2_pl,home
0.97,5.0,0.019400142087658185,-0.13468983577897664,0.17308538307428853,CoMix2_pl,home
0.98,5.0,0.02634950141894287,-0.11593735279286232,0.18411376158698806,CoMix2_pl,home
0.95,4.0,-0.316536406961251,-0.4415328532530089,-0.19719368843336504,CoMix2_pt,home
0.97,5.0,-0.5808738882949925,-0.9053855976214351,-0.3209165617229776,CoMix2_pt,home
0.98,5.0,-0.537153628831951,-0.8098212230244936,-0.31539955162945643,CoMix2_pt,home
0.95,12.0,0.4946861231669077,0.14455830658703323,0.8746226037062101,Read_2014,home
0.97,15.0,0.5986913018198922,0.14845845552093162,1.1043486810972274,Read_2014,home
0.98,19.0,0.6219204954596468,0.05358763775222508,1.2237994244799326,Read_2014,home
0.95,8.0,0.09969630617797164,-0.02491459164832524,0.23720877636742885,Mossong_2008,home
0.97,9.0,0.12433012672942045,-0.04141548550727068,0.30097978192381997,Mossong_2008,home
0.98,10.0,0.06636114901411756,-0.1409900469868188,0.2794944587166617,Mossong_2008,home
0.95,12.0,0.6276163985429549,-0.2530649668511048,1.7463863608554395,Grijalva_2015,home
0.97,13.0,1.3198030680358503,-0.20226677109142932,3.2937949551504535,Grijalva_2015,home
0.98,14.0,2.364005595943252,-0.5862030235786795,6.625868219261339,Grijalva_2015,home
0.95,5.0,-0.25194694996000944,-0.5601668683317556,0.2422942510979282,Leung_2017,home
0.97,5.419999999999959,-0.018207179311267266,-0.5257953819597326,0.48670224260560346,Leung_2017,home
0.98,6.0,-0.32406094594747503,-0.9618160406145931,0.3675379657087054,Leung_2017,home
0.95,12.0,0.3168961383620804,-0.0939497589015276,0.9796714282611524,Horby_2011,home
0.97,12.169999999999959,0.37912393722055854,-0.0909796514470475,1.1208291657473812,Horby_2011,home
0.98,13.0,0.7541225015334078,-0.11954113603033055,1.8734319613271504,Horby_2011,home
0.95,7.0,-0.115776711519343,-0.19137751499768446,-0.030788840132228656,Dodd_2016,home
0.97,8.0,-0.10936052813888222,-0.24106670297296376,0.025807073607722688,Dodd_2016,home
0.98,9.0,-0.030879030188601476,-0.22852146931995057,0.18926252163350218,Dodd_2016,home
0.95,9.0,-0.1764784419851985,-0.3979547218058864,0.10727964270196187,Willem_2012,home
0.97,12.0,-0.22492576388688829,-0.5073397718428292,0.07088790312698634,Willem_2012,home
0.98,15.0,-0.16916172159635595,-0.6098604882882503,0.2439159001507264,Willem_2012,home
0.95,24.850000000000023,0.6768543985283195,-0.14602876899409012,1.7453290766688077,Wirya_2020,home
0.97,30.0,0.9104041558291782,-0.4638551207667472,2.6838796978482895,Wirya_2020,home
0.98,31.739999999999952,1.1356758872508133,-0.5429198214832422,3.1741897445128515,Wirya_2020,home
0.95,8.0,0.5412418901596002,-0.0798496704375196,1.2650309045591643,Kassteele_2017,home
0.97,9.96999999999997,1.9796930810568527,0.35711768946020617,4.341795848053553,Kassteele_2017,home
0.98,11.0,0.9509148217389752,-0.16234265836573292,2.596149909439078,Kassteele_2017,home
0.95,8.0,0.024301268014852422,-0.23296719652303366,0.37766535885678604,Hens_2009,home
0.97,9.169999999999959,0.09027189007562073,-0.21149856607163192,0.49874694377687384,Hens_2009,home
